Features, p, b, t, d, k, g, f, v, θ, ð, s, z, h, š, ž, č, ǰ, m, n, ŋ, r, l, i, ē, ɛ, æ, ā, ɔ, o, u, ʌ
Sonorant, -1, -1, -1, -1, -1, -1, -0.5, -0.5 -0,5, -0.5, -0.5 -0,5, -0.5, -0.5 -0,5, -0.8, -0.8, 0, 0, 0, 0.5, 0.5, 1, 1, 1, 1, 1, 1, 1, 1, 1
Consonantal, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1
Voice, -1, 0, -1, 0, -1, 0, -1, 0, -1, 0, -1, 0, 0, -1, 0, -1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Nasal, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Degree, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1
Labial, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Palatal, 0, 0, 1, 1, -1, -1, 1, 1, 1, 1, 1, 1, -1, 0, 0, 0, 0, 0, 1, -1, -1, 1, 0, 0, 0, 0, -1, -1, -1, -1, -1
Pharyngeal, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1
Round, 1, 1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, 1, 1, -1
Tongue, 0, 0, 1, 1, -1, -1, 0, 0, 0, 0, 1, 1, -1, 0, 0, 0, 0, 0, 1, -1, -1, 1, 0, -1, -1, -1, -1, -1, -1, 0, -1
Radical, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 1, -1, 1, -1, -1, 1, 1, -1
