,phonemes,overlap / correlation
0,"['ɨ̄', 'ɪ̄']",0.7862158588810495
1,"['ɨ̄', 'ū']",0.7931034482758619
2,"['ɨ̄', 'ē']",0.5808023194967747
3,"['ɨ̄', 'ō']",0.5517241379310346
4,"['ɨ̄', 'ǣ']",0.3216337604513384
5,"['ɨ̄', 'ā']",0.5517241379310344
6,"['ɨ̄', 'œ̄']",0.10344827586206899
7,"['ɨ̄', 'ɔ̄']",0.3448275862068966
8,"['ɨ̄', 'i']",0.5808023194967747
9,"['ɨ̄', 'u']",0.5517241379310346
10,"['ɨ̄', 'e']",0.36030187928883595
11,"['ɨ̄', 'ʌ']",0.5808023194967747
12,"['ɨ̄', 'o']",0.32163376045133846
13,"['ɨ̄', 'æ']",0.07744030926623659
14,"['ɨ̄', 'ɔ']",0.10344827586206903
15,"['ɨ̄', 'y']",0.36030187928883595
16,"['ɨ̄', 'w']",0.32163376045133846
17,"['ɨ̄', 'ɛ']",0.06189844605901728
18,"['ɨ̄', 'r']",-0.10908244628454693
19,"['ɨ̄', 'l']",-0.29608092562948474
20,"['ɨ̄', 'p']",-0.44051926939215275
21,"['ɨ̄', 'b']",-0.3760821129732468
22,"['ɨ̄', 'f']",-0.3368743128004967
23,"['ɨ̄', 'v']",-0.31166413224156275
24,"['ɨ̄', 'm']",-0.3368743128004967
25,"['ɨ̄', 't']",-0.5983124524574381
26,"['ɨ̄', 'd']",-0.5454155540579472
27,"['ɨ̄', 'θ']",-0.5454155540579471
28,"['ɨ̄', 'ð']",-0.5142458181985786
29,"['ɨ̄', 'n']",-0.5142458181985787
30,"['ɨ̄', 's']",-0.5142458181985787
31,"['ɨ̄', 'z']",-0.4986626115865005
32,"['ɨ̄', 'c']",-0.5454155540579472
33,"['ɨ̄', 'č']",-0.1283330715430464
34,"['ɨ̄', 'ǰ']",-0.10908244628454694
35,"['ɨ̄', 'š']",-0.10908244628454694
36,"['ɨ̄', 'ž']",-0.09349923967246884
37,"['ɨ̄', 'k']",0.3898865145819659
38,"['ɨ̄', 'g']",0.37665889234460664
39,"['ɨ̄', 'x']",0.3766588923446066
40,"['ɨ̄', 'ŋ']",0.29608092562948474
41,"['ɨ̄', 'h']",-0.1915301171270229
42,"['ɨ̄', 'kʷ']",0.17263532565794465
43,"['ɨ̄', 'gʷ']",0.18074256993863333
44,"['ɨ̄', 'xʷ']",0.18074256993863333
45,"['ɪ̄', 'ū']",0.6075304364080835
46,"['ɪ̄', 'ē']",0.7624437362098718
47,"['ɪ̄', 'ō']",0.32163376045133835
48,"['ɪ̄', 'ǣ']",0.5185185185185183
49,"['ɪ̄', 'ā']",0.3216337604513384
50,"['ɪ̄', 'œ̄']",0.3216337604513384
51,"['ɪ̄', 'ɔ̄']",0.14294833797837256
52,"['ɪ̄', 'i']",0.7624437362098718
53,"['ɪ̄', 'u']",0.3216337604513384
54,"['ɪ̄', 'e']",0.5134360308102701
55,"['ɪ̄', 'ʌ']",0.24077170617153837
56,"['ɪ̄', 'o']",0.03703703703703705
