,phonemes,overlap / correlation
0,"['ɨ̄', 'ɪ̄']",0.79
1,"['ɨ̄', 'ū']",0.79
2,"['ɨ̄', 'ē']",0.58
3,"['ɨ̄', 'ō']",0.55
4,"['ɨ̄', 'ǣ']",0.32
5,"['ɨ̄', 'ā']",0.55
6,"['ɨ̄', 'œ̄']",0.1
7,"['ɨ̄', 'ɔ̄']",0.34
8,"['ɨ̄', 'i']",0.58
9,"['ɨ̄', 'u']",0.55
10,"['ɨ̄', 'e']",0.36
11,"['ɨ̄', 'ʌ']",0.58
12,"['ɨ̄', 'o']",0.32
13,"['ɨ̄', 'æ']",0.08
14,"['ɨ̄', 'ɔ']",0.1
15,"['ɨ̄', 'y']",0.36
16,"['ɨ̄', 'w']",0.32
17,"['ɨ̄', 'ɛ']",0.06
18,"['ɨ̄', 'r']",-0.11
19,"['ɨ̄', 'l']",-0.3
20,"['ɨ̄', 'p']",-0.44
21,"['ɨ̄', 'b']",-0.38
22,"['ɨ̄', 'f']",-0.34
23,"['ɨ̄', 'v']",-0.31
24,"['ɨ̄', 'm']",-0.34
25,"['ɨ̄', 't']",-0.6
26,"['ɨ̄', 'd']",-0.55
27,"['ɨ̄', 'θ']",-0.55
28,"['ɨ̄', 'ð']",-0.51
29,"['ɨ̄', 'n']",-0.51
30,"['ɨ̄', 's']",-0.51
31,"['ɨ̄', 'z']",-0.5
32,"['ɨ̄', 'c']",-0.55
33,"['ɨ̄', 'č']",-0.13
34,"['ɨ̄', 'ǰ']",-0.11
35,"['ɨ̄', 'š']",-0.11
36,"['ɨ̄', 'ž']",-0.09
37,"['ɨ̄', 'k']",0.39
38,"['ɨ̄', 'g']",0.38
39,"['ɨ̄', 'x']",0.38
40,"['ɨ̄', 'ŋ']",0.3
41,"['ɨ̄', 'h']",-0.19
42,"['ɨ̄', 'kʷ']",0.17
43,"['ɨ̄', 'gʷ']",0.18
44,"['ɨ̄', 'xʷ']",0.18
45,"['ɪ̄', 'ū']",0.61
46,"['ɪ̄', 'ē']",0.76
47,"['ɪ̄', 'ō']",0.32
48,"['ɪ̄', 'ǣ']",0.52
49,"['ɪ̄', 'ā']",0.32
50,"['ɪ̄', 'œ̄']",0.32
51,"['ɪ̄', 'ɔ̄']",0.14
52,"['ɪ̄', 'i']",0.76
53,"['ɪ̄', 'u']",0.32
54,"['ɪ̄', 'e']",0.51
55,"['ɪ̄', 'ʌ']",0.24
56,"['ɪ̄', 'o']",0.04
57,"['ɪ̄', 'æ']",0.24
58,"['ɪ̄', 'ɔ']",-0.14
59,"['ɪ̄', 'y']",0.51
60,"['ɪ̄', 'w']",0.04
61,"['ɪ̄', 'ɛ']",0.19
62,"['ɪ̄', 'r']",0.08
63,"['ɪ̄', 'l']",-0.08
64,"['ɪ̄', 'p']",-0.34
65,"['ɪ̄', 'b']",-0.25
66,"['ɪ̄', 'f']",-0.18
67,"['ɪ̄', 'v']",-0.13
68,"['ɪ̄', 'm']",-0.18
69,"['ɪ̄', 't']",-0.48
70,"['ɪ̄', 'd']",-0.4
71,"['ɪ̄', 'θ']",-0.4
72,"['ɪ̄', 'ð']",-0.34
73,"['ɪ̄', 'n']",-0.34
74,"['ɪ̄', 's']",-0.34
75,"['ɪ̄', 'z']",-0.29
76,"['ɪ̄', 'c']",-0.4
77,"['ɪ̄', 'č']",0.03
78,"['ɪ̄', 'ǰ']",0.08
79,"['ɪ̄', 'š']",0.08
80,"['ɪ̄', 'ž']",0.13
81,"['ɪ̄', 'k']",0.07
82,"['ɪ̄', 'g']",0.11
83,"['ɪ̄', 'x']",0.11
84,"['ɪ̄', 'ŋ']",0.08
85,"['ɪ̄', 'h']",-0.08
86,"['ɪ̄', 'kʷ']",-0.1
87,"['ɪ̄', 'gʷ']",-0.05
88,"['ɪ̄', 'xʷ']",-0.05
89,"['ū', 'ē']",0.43
90,"['ū', 'ō']",0.79
91,"['ū', 'ǣ']",0.14
92,"['ū', 'ā']",0.34
93,"['ū', 'œ̄']",0.34
94,"['ū', 'ɔ̄']",0.55
95,"['ū', 'i']",0.43
96,"['ū', 'u']",0.79
97,"['ū', 'e']",0.23
98,"['ū', 'ʌ']",0.43
99,"['ū', 'o']",0.61
100,"['ū', 'æ']",-0.08
101,"['ū', 'ɔ']",0.34
102,"['ū', 'y']",0.23
103,"['ū', 'w']",0.61
104,"['ū', 'ɛ']",-0.06
105,"['ū', 'r']",-0.09
106,"['ū', 'l']",-0.31
107,"['ū', 'p']",-0.31
108,"['ū', 'b']",-0.29
109,"['ū', 'f']",-0.29
110,"['ū', 'v']",-0.3
111,"['ū', 'm']",-0.29
112,"['ū', 't']",-0.51
113,"['ū', 'd']",-0.5
114,"['ū', 'θ']",-0.5
115,"['ū', 'ð']",-0.5
116,"['ū', 'n']",-0.5
117,"['ū', 's']",-0.5
118,"['ū', 'z']",-0.51
119,"['ū', 'c']",-0.5
120,"['ū', 'č']",-0.08
121,"['ū', 'ǰ']",-0.09
122,"['ū', 'š']",-0.09
123,"['ū', 'ž']",-0.11
124,"['ū', 'k']",0.27
125,"['ū', 'g']",0.24
126,"['ū', 'x']",0.24
127,"['ū', 'ŋ']",0.31
128,"['ū', 'h']",-0.06
129,"['ū', 'kʷ']",0.44
130,"['ū', 'gʷ']",0.41
131,"['ū', 'xʷ']",0.41
132,"['ē', 'ō']",0.58
133,"['ē', 'ǣ']",0.76
134,"['ē', 'ā']",0.58
135,"['ē', 'œ̄']",0.58
136,"['ē', 'ɔ̄']",0.43
137,"['ē', 'i']",0.43
138,"['ē', 'u']",0.08
139,"['ē', 'e']",0.71
140,"['ē', 'ʌ']",0.43
141,"['ē', 'o']",0.24
142,"['ē', 'æ']",0.43
143,"['ē', 'ɔ']",0.08
144,"['ē', 'y']",0.05
145,"['ē', 'w']",-0.28
146,"['ē', 'ɛ']",0.35
147,"['ē', 'r']",0.3
148,"['ē', 'l']",0.16
149,"['ē', 'p']",-0.24
150,"['ē', 'b']",-0.12
151,"['ē', 'f']",-0.02
152,"['ē', 'v']",0.07
153,"['ē', 'm']",-0.02
154,"['ē', 't']",-0.36
155,"['ē', 'd']",-0.25
156,"['ē', 'θ']",-0.25
157,"['ē', 'ð']",-0.16
158,"['ē', 'n']",-0.16
159,"['ē', 's']",-0.16
160,"['ē', 'z']",-0.07
161,"['ē', 'c']",-0.25
162,"['ē', 'č']",-0.25
163,"['ē', 'ǰ']",-0.16
164,"['ē', 'š']",-0.16
165,"['ē', 'ž']",-0.07
166,"['ē', 'k']",-0.29
167,"['ē', 'g']",-0.18
168,"['ē', 'x']",-0.18
169,"['ē', 'ŋ']",-0.16
170,"['ē', 'h']",0.04
171,"['ē', 'kʷ']",-0.41
172,"['ē', 'gʷ']",-0.3
173,"['ē', 'xʷ']",-0.3
174,"['ō', 'ǣ']",0.32
175,"['ō', 'ā']",0.55
176,"['ō', 'œ̄']",0.55
177,"['ō', 'ɔ̄']",0.79
178,"['ō', 'i']",0.08
179,"['ō', 'u']",0.55
180,"['ō', 'e']",0.36
181,"['ō', 'ʌ']",0.58
182,"['ō', 'o']",0.79
183,"['ō', 'æ']",0.08
184,"['ō', 'ɔ']",0.55
185,"['ō', 'y']",-0.23
186,"['ō', 'w']",0.32
187,"['ō', 'ɛ']",0.06
188,"['ō', 'r']",0.09
189,"['ō', 'l']",-0.09
190,"['ō', 'p']",-0.19
191,"['ō', 'b']",-0.15
192,"['ō', 'f']",-0.13
193,"['ō', 'v']",-0.11
194,"['ō', 'm']",-0.13
195,"['ō', 't']",-0.38
196,"['ō', 'd']",-0.34
197,"['ō', 'θ']",-0.34
198,"['ō', 'ð']",-0.31
199,"['ō', 'n']",-0.31
200,"['ō', 's']",-0.31
201,"['ō', 'z']",-0.3
202,"['ō', 'c']",-0.34
203,"['ō', 'č']",-0.34
204,"['ō', 'ǰ']",-0.31
205,"['ō', 'š']",-0.31
206,"['ō', 'ž']",-0.3
207,"['ō', 'k']",-0.05
208,"['ō', 'g']",-0.03
209,"['ō', 'x']",-0.03
210,"['ō', 'ŋ']",0.09
211,"['ō', 'h']",0.06
212,"['ō', 'kʷ']",0.17
213,"['ō', 'gʷ']",0.18
214,"['ō', 'xʷ']",0.18
215,"['ǣ', 'ā']",0.79
216,"['ǣ', 'œ̄']",0.79
217,"['ǣ', 'ɔ̄']",0.61
218,"['ǣ', 'i']",0.24
219,"['ǣ', 'u']",-0.14
220,"['ǣ', 'e']",0.51
221,"['ǣ', 'ʌ']",0.24
222,"['ǣ', 'o']",0.04
223,"['ǣ', 'æ']",0.76
224,"['ǣ', 'ɔ']",0.32
225,"['ǣ', 'y']",-0.09
226,"['ǣ', 'w']",-0.44
227,"['ǣ', 'ɛ']",0.19
228,"['ǣ', 'r']",0.08
229,"['ǣ', 'l']",-0.08
230,"['ǣ', 'p']",-0.34
231,"['ǣ', 'b']",-0.25
232,"['ǣ', 'f']",-0.18
233,"['ǣ', 'v']",-0.13
234,"['ǣ', 'm']",-0.18
235,"['ǣ', 't']",-0.48
236,"['ǣ', 'd']",-0.4
237,"['ǣ', 'θ']",-0.4
238,"['ǣ', 'ð']",-0.34
239,"['ǣ', 'n']",-0.34
240,"['ǣ', 's']",-0.34
241,"['ǣ', 'z']",-0.29
242,"['ǣ', 'c']",-0.4
243,"['ǣ', 'č']",-0.4
244,"['ǣ', 'ǰ']",-0.34
245,"['ǣ', 'š']",-0.34
246,"['ǣ', 'ž']",-0.29
247,"['ǣ', 'k']",-0.39
248,"['ǣ', 'g']",-0.31
249,"['ǣ', 'x']",-0.31
250,"['ǣ', 'ŋ']",-0.34
251,"['ǣ', 'h']",0.44
252,"['ǣ', 'kʷ']",-0.52
253,"['ǣ', 'gʷ']",-0.45
254,"['ǣ', 'xʷ']",-0.45
255,"['ā', 'œ̄']",0.55
256,"['ā', 'ɔ̄']",0.79
257,"['ā', 'i']",0.08
258,"['ā', 'u']",0.1
259,"['ā', 'e']",0.36
260,"['ā', 'ʌ']",0.58
261,"['ā', 'o']",0.32
262,"['ā', 'æ']",0.58
263,"['ā', 'ɔ']",0.55
264,"['ā', 'y']",-0.23
265,"['ā', 'w']",-0.14
266,"['ā', 'ɛ']",0.06
267,"['ā', 'r']",-0.11
268,"['ā', 'l']",-0.3
269,"['ā', 'p']",-0.44
270,"['ā', 'b']",-0.38
271,"['ā', 'f']",-0.34
272,"['ā', 'v']",-0.31
273,"['ā', 'm']",-0.34
274,"['ā', 't']",-0.6
275,"['ā', 'd']",-0.55
276,"['ā', 'θ']",-0.55
277,"['ā', 'ð']",-0.51
278,"['ā', 'n']",-0.51
279,"['ā', 's']",-0.51
280,"['ā', 'z']",-0.5
281,"['ā', 'c']",-0.55
282,"['ā', 'č']",-0.55
283,"['ā', 'ǰ']",-0.51
284,"['ā', 'š']",-0.51
285,"['ā', 'ž']",-0.5
286,"['ā', 'k']",-0.05
287,"['ā', 'g']",-0.03
288,"['ā', 'x']",-0.03
289,"['ā', 'ŋ']",-0.11
290,"['ā', 'h']",0.31
291,"['ā', 'kʷ']",-0.24
292,"['ā', 'gʷ']",-0.21
293,"['ā', 'xʷ']",-0.21
294,"['œ̄', 'ɔ̄']",0.79
295,"['œ̄', 'i']",0.08
296,"['œ̄', 'u']",0.1
297,"['œ̄', 'e']",0.36
298,"['œ̄', 'ʌ']",0.08
299,"['œ̄', 'o']",0.32
300,"['œ̄', 'æ']",0.58
301,"['œ̄', 'ɔ']",0.55
302,"['œ̄', 'y']",-0.23
303,"['œ̄', 'w']",-0.14
304,"['œ̄', 'ɛ']",0.06
305,"['œ̄', 'r']",0.09
306,"['œ̄', 'l']",-0.09
307,"['œ̄', 'p']",-0.19
308,"['œ̄', 'b']",-0.15
309,"['œ̄', 'f']",-0.13
310,"['œ̄', 'v']",-0.11
311,"['œ̄', 'm']",-0.13
312,"['œ̄', 't']",-0.38
313,"['œ̄', 'd']",-0.34
314,"['œ̄', 'θ']",-0.34
315,"['œ̄', 'ð']",-0.31
316,"['œ̄', 'n']",-0.31
317,"['œ̄', 's']",-0.31
318,"['œ̄', 'z']",-0.3
319,"['œ̄', 'c']",-0.34
320,"['œ̄', 'č']",-0.34
321,"['œ̄', 'ǰ']",-0.31
322,"['œ̄', 'š']",-0.31
323,"['œ̄', 'ž']",-0.3
324,"['œ̄', 'k']",-0.49
325,"['œ̄', 'g']",-0.44
326,"['œ̄', 'x']",-0.44
327,"['œ̄', 'ŋ']",-0.31
328,"['œ̄', 'h']",0.56
329,"['œ̄', 'kʷ']",-0.24
330,"['œ̄', 'gʷ']",-0.21
331,"['œ̄', 'xʷ']",-0.21
332,"['ɔ̄', 'i']",-0.08
333,"['ɔ̄', 'u']",0.34
334,"['ɔ̄', 'e']",0.23
335,"['ɔ̄', 'ʌ']",0.43
336,"['ɔ̄', 'o']",0.61
337,"['ɔ̄', 'æ']",0.43
338,"['ɔ̄', 'ɔ']",0.79
339,"['ɔ̄', 'y']",-0.36
340,"['ɔ̄', 'w']",0.14
341,"['ɔ̄', 'ɛ']",-0.06
342,"['ɔ̄', 'r']",-0.09
343,"['ɔ̄', 'l']",-0.31
344,"['ɔ̄', 'p']",-0.31
345,"['ɔ̄', 'b']",-0.29
346,"['ɔ̄', 'f']",-0.29
347,"['ɔ̄', 'v']",-0.3
348,"['ɔ̄', 'm']",-0.29
349,"['ɔ̄', 't']",-0.51
350,"['ɔ̄', 'd']",-0.5
351,"['ɔ̄', 'θ']",-0.5
352,"['ɔ̄', 'ð']",-0.5
353,"['ɔ̄', 'n']",-0.5
354,"['ɔ̄', 's']",-0.5
355,"['ɔ̄', 'z']",-0.51
356,"['ɔ̄', 'c']",-0.5
357,"['ɔ̄', 'č']",-0.5
358,"['ɔ̄', 'ǰ']",-0.5
359,"['ɔ̄', 'š']",-0.5
360,"['ɔ̄', 'ž']",-0.51
361,"['ɔ̄', 'k']",-0.17
362,"['ɔ̄', 'g']",-0.17
363,"['ɔ̄', 'x']",-0.17
364,"['ɔ̄', 'ŋ']",-0.09
365,"['ɔ̄', 'h']",0.44
366,"['ɔ̄', 'kʷ']",0.03
367,"['ɔ̄', 'gʷ']",0.02
368,"['ɔ̄', 'xʷ']",0.02
369,"['i', 'u']",0.58
370,"['i', 'e']",0.71
371,"['i', 'ʌ']",0.43
372,"['i', 'o']",0.24
373,"['i', 'æ']",0.43
374,"['i', 'ɔ']",0.08
375,"['i', 'y']",0.71
376,"['i', 'w']",0.24
377,"['i', 'ɛ']",0.35
378,"['i', 'r']",0.07
379,"['i', 'l']",-0.07
380,"['i', 'p']",-0.52
381,"['i', 'b']",-0.36
382,"['i', 'f']",-0.25
383,"['i', 'v']",-0.16
384,"['i', 'm']",-0.25
385,"['i', 't']",-0.61
386,"['i', 'd']",-0.49
387,"['i', 'θ']",-0.49
388,"['i', 'ð']",-0.38
389,"['i', 'n']",-0.38
390,"['i', 's']",-0.38
391,"['i', 'z']",-0.3
392,"['i', 'c']",-0.49
393,"['i', 'č']",-0.02
394,"['i', 'ǰ']",0.07
395,"['i', 'š']",0.07
396,"['i', 'ž']",0.16
397,"['i', 'k']",-0.04
398,"['i', 'g']",0.05
399,"['i', 'x']",0.05
400,"['i', 'ŋ']",0.07
401,"['i', 'h']",-0.24
402,"['i', 'kʷ']",-0.18
403,"['i', 'gʷ']",-0.08
404,"['i', 'xʷ']",-0.08
405,"['u', 'e']",0.36
