,phonemes,ɪ̄,ū,ē,ō,ǣ,ā,œ̄,ɔ̄,i,u,e,ʌ,o,æ,ɔ,y,w,ɛ,r,l,p,b,f,v,m,t,d,θ,ð,n,s,z,c,č,ǰ,š,ž,k,g,x,ŋ,h,kʷ,gʷ,xʷ
0,ɨ̄,0.79,0.79,0.58,0.55,0.32,0.55,0.1,0.34,0.58,0.55,0.36,0.58,0.32,0.08,0.1,0.36,0.32,0.06,-0.11,-0.3,-0.44,-0.38,-0.34,-0.31,-0.34,-0.6,-0.55,-0.55,-0.51,-0.51,-0.51,-0.5,-0.55,-0.13,-0.11,-0.11,-0.09,0.39,0.38,0.38,0.3,-0.19,0.17,0.18,0.18
1,ɪ̄,,0.61,0.76,0.32,0.52,0.32,0.32,0.14,0.76,0.32,0.51,0.24,0.04,0.24,-0.14,0.51,0.04,0.19,0.08,-0.08,-0.34,-0.25,-0.18,-0.13,-0.18,-0.48,-0.4,-0.4,-0.34,-0.34,-0.34,-0.29,-0.4,0.03,0.08,0.08,0.13,0.07,0.11,0.11,0.08,-0.08,-0.1,-0.05,-0.05
2,ū,,,0.43,0.79,0.14,0.34,0.34,0.55,0.43,0.79,0.23,0.43,0.61,-0.08,0.34,0.23,0.61,-0.06,-0.09,-0.31,-0.31,-0.29,-0.29,-0.3,-0.29,-0.51,-0.5,-0.5,-0.5,-0.5,-0.5,-0.51,-0.5,-0.08,-0.09,-0.09,-0.11,0.27,0.24,0.24,0.31,-0.06,0.44,0.41,0.41
3,ē,,,,0.58,0.76,0.58,0.58,0.43,0.43,0.08,0.71,0.43,0.24,0.43,0.08,0.05,-0.28,0.35,0.3,0.16,-0.24,-0.12,-0.02,0.07,-0.02,-0.36,-0.25,-0.25,-0.16,-0.16,-0.16,-0.07,-0.25,-0.25,-0.16,-0.16,-0.07,-0.29,-0.18,-0.18,-0.16,0.04,-0.41,-0.3,-0.3
4,ō,,,,,0.32,0.55,0.55,0.79,0.08,0.55,0.36,0.58,0.79,0.08,0.55,-0.23,0.32,0.06,0.09,-0.09,-0.19,-0.15,-0.13,-0.11,-0.13,-0.38,-0.34,-0.34,-0.31,-0.31,-0.31,-0.3,-0.34,-0.34,-0.31,-0.31,-0.3,-0.05,-0.03,-0.03,0.09,0.06,0.17,0.18,0.18
5,ǣ,,,,,,0.79,0.79,0.61,0.24,-0.14,0.51,0.24,0.04,0.76,0.32,-0.09,-0.44,0.19,0.08,-0.08,-0.34,-0.25,-0.18,-0.13,-0.18,-0.48,-0.4,-0.4,-0.34,-0.34,-0.34,-0.29,-0.4,-0.4,-0.34,-0.34,-0.29,-0.39,-0.31,-0.31,-0.34,0.44,-0.52,-0.45,-0.45
6,ā,,,,,,,0.55,0.79,0.08,0.1,0.36,0.58,0.32,0.58,0.55,-0.23,-0.14,0.06,-0.11,-0.3,-0.44,-0.38,-0.34,-0.31,-0.34,-0.6,-0.55,-0.55,-0.51,-0.51,-0.51,-0.5,-0.55,-0.55,-0.51,-0.51,-0.5,-0.05,-0.03,-0.03,-0.11,0.31,-0.24,-0.21,-0.21
7,œ̄,,,,,,,,0.79,0.08,0.1,0.36,0.08,0.32,0.58,0.55,-0.23,-0.14,0.06,0.09,-0.09,-0.19,-0.15,-0.13,-0.11,-0.13,-0.38,-0.34,-0.34,-0.31,-0.31,-0.31,-0.3,-0.34,-0.34,-0.31,-0.31,-0.3,-0.49,-0.44,-0.44,-0.31,0.56,-0.24,-0.21,-0.21
8,ɔ̄,,,,,,,,,-0.08,0.34,0.23,0.43,0.61,0.43,0.79,-0.36,0.14,-0.06,-0.09,-0.31,-0.31,-0.29,-0.29,-0.3,-0.29,-0.51,-0.5,-0.5,-0.5,-0.5,-0.5,-0.51,-0.5,-0.5,-0.5,-0.5,-0.51,-0.17,-0.17,-0.17,-0.09,0.44,0.03,0.02,0.02
9,i,,,,,,,,,,0.58,0.71,0.43,0.24,0.43,0.08,0.71,0.24,0.35,0.07,-0.07,-0.52,-0.36,-0.25,-0.16,-0.25,-0.61,-0.49,-0.49,-0.38,-0.38,-0.38,-0.3,-0.49,-0.02,0.07,0.07,0.16,-0.04,0.05,0.05,0.07,-0.24,-0.18,-0.08,-0.08
10,u,,,,,,,,,,,0.36,0.58,0.79,0.08,0.55,0.36,0.79,0.06,-0.11,-0.3,-0.44,-0.38,-0.34,-0.31,-0.34,-0.6,-0.55,-0.55,-0.51,-0.51,-0.51,-0.5,-0.55,-0.13,-0.11,-0.11,-0.09,0.17,0.17,0.17,0.3,-0.19,0.38,0.38,0.38
11,e,,,,,,,,,,,,0.71,0.51,0.71,0.36,0.24,-0.09,0.57,0.33,0.2,-0.45,-0.25,-0.08,0.06,-0.08,-0.54,-0.36,-0.36,-0.2,-0.2,-0.2,-0.06,-0.36,-0.36,-0.2,-0.2,-0.06,-0.46,-0.29,-0.29,-0.2,-0.13,-0.55,-0.39,-0.39
12,ʌ,,,,,,,,,,,,,0.76,0.43,0.58,0.05,0.24,0.35,0.07,-0.07,-0.52,-0.36,-0.25,-0.16,-0.25,-0.61,-0.49,-0.49,-0.38,-0.38,-0.38,-0.3,-0.49,-0.49,-0.38,-0.38,-0.3,-0.04,0.05,0.05,0.07,-0.24,-0.18,-0.08,-0.08
13,o,,,,,,,,,,,,,,0.24,0.79,-0.09,0.52,0.19,0.08,-0.08,-0.34,-0.25,-0.18,-0.13,-0.18,-0.48,-0.4,-0.4,-0.34,-0.34,-0.34,-0.29,-0.4,-0.4,-0.34,-0.34,-0.29,-0.16,-0.1,-0.1,0.08,-0.08,0.11,0.16,0.16
14,æ,,,,,,,,,,,,,,,0.58,0.05,-0.28,0.35,0.07,-0.07,-0.52,-0.36,-0.25,-0.16,-0.25,-0.61,-0.49,-0.49,-0.38,-0.38,-0.38,-0.3,-0.49,-0.49,-0.38,-0.38,-0.3,-0.53,-0.41,-0.41,-0.38,0.32,-0.63,-0.52,-0.52
15,ɔ,,,,,,,,,,,,,,,,-0.23,0.32,0.06,-0.11,-0.3,-0.44,-0.38,-0.34,-0.31,-0.34,-0.6,-0.55,-0.55,-0.51,-0.51,-0.51,-0.5,-0.55,-0.55,-0.51,-0.51,-0.5,-0.27,-0.24,-0.24,-0.11,0.31,-0.03,-0.02,-0.02
16,y,,,,,,,,,,,,,,,,,0.51,0.57,-0.2,-0.33,-0.45,-0.25,-0.08,0.06,-0.08,-0.54,-0.36,-0.36,-0.2,-0.2,-0.2,-0.06,-0.36,0.19,0.33,0.33,0.47,0.11,0.25,0.25,0.33,-0.13,-0.02,0.12,0.12
17,w,,,,,,,,,,,,,,,,,,0.19,-0.34,-0.5,-0.34,-0.25,-0.18,-0.13,-0.18,-0.48,-0.4,-0.4,-0.34,-0.34,-0.34,-0.29,-0.4,0.03,0.08,0.08,0.13,0.3,0.33,0.33,0.5,-0.08,0.54,0.56,0.56
18,ɛ,,,,,,,,,,,,,,,,,,,0.06,-0.06,-0.41,-0.09,0.17,0.42,0.17,-0.49,-0.2,-0.2,0.06,0.06,0.06,0.31,-0.2,-0.2,0.06,0.06,0.31,-0.43,-0.14,-0.14,0.06,0.03,-0.51,-0.24,-0.24
19,r,,,,,,,,,,,,,,,,,,,,0.83,0.05,0.26,0.07,0.27,0.07,0.26,0.45,0.45,0.63,0.27,0.27,0.46,0.07,0.07,0.27,0.27,0.46,-0.15,0.06,0.06,-0.1,0.05,-0.12,0.07,0.07
20,l,,,,,,,,,,,,,,,,,,,,,0.4,0.54,0.3,0.46,0.3,0.54,0.68,0.68,0.83,0.46,0.46,0.63,0.3,-0.07,0.1,0.1,0.27,-0.25,-0.06,-0.06,-0.27,-0.05,-0.25,-0.07,-0.07
21,p,,,,,,,,,,,,,,,,,,,,,,0.78,0.62,0.5,0.62,0.78,0.62,0.62,0.5,0.5,0.5,0.4,0.62,0.16,0.05,0.05,-0.05,0.22,0.1,0.1,0.05,-0.11,0.32,0.21,0.21
22,b,,,,,,,,,,,,,,,,,,,,,,,0.4,0.66,0.81,0.56,0.81,0.4,0.66,0.66,0.26,0.54,0.4,-0.02,0.26,-0.14,0.14,0.08,0.35,-0.05,0.26,-0.21,0.15,0.41,0.02
23,f,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.22,0.4,0.22,0.61,0.45,0.07,0.83,0.68,0.61,0.22,0.07,0.45,0.3,-0.04,-0.18,0.2,-0.3,0.16,0.01,-0.13,0.23
24,v,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.26,0.45,0.45,0.63,0.27,0.63,0.83,0.45,0.07,0.27,0.27,0.46,-0.15,0.06,0.06,-0.1,0.05,-0.12,0.07,0.07
25,m,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.61,0.22,0.45,0.83,0.07,0.3,0.22,-0.16,0.07,-0.3,-0.07,-0.04,0.2,-0.18,0.45,-0.3,0.01,0.23,-0.13
26,t,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.81,0.66,0.66,0.66,0.54,0.81,0.4,0.26,0.26,0.14,0.08,-0.05,-0.05,-0.14,-0.21,0.15,0.02,0.02
27,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.83,0.83,0.45,0.68,0.61,0.22,0.45,0.07,0.3,-0.04,0.2,-0.18,0.07,-0.3,0.01,0.23,-0.13
28,θ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.45,0.83,0.68,0.61,0.22,0.07,0.45,0.3,-0.04,-0.18,0.2,-0.3,0.16,0.01,-0.13,0.23
29,ð,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.63,0.83,0.45,0.07,0.27,0.27,0.46,-0.15,0.06,0.06,-0.1,0.05,-0.12,0.07,0.07
30,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.46,0.45,0.07,0.27,-0.1,0.1,-0.15,0.06,-0.3,0.27,-0.4,-0.12,0.07,-0.28
31,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.83,0.45,0.27,0.63,0.46,-0.15,-0.3,0.06,-0.46,0.05,-0.12,-0.28,0.07
32,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.3,0.46,0.46,0.63,-0.25,-0.06,-0.06,-0.27,-0.05,-0.25,-0.07,-0.07
33,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.45,0.45,0.3,-0.04,-0.18,-0.18,-0.3,-0.3,0.01,-0.13,-0.13
34,č,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.83,0.68,0.37,0.2,0.2,0.07,-0.3,0.39,0.23,0.23
35,ǰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.83,0.25,0.43,0.06,0.27,-0.4,0.25,0.43,0.07
36,š,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.25,0.06,0.43,-0.1,0.05,0.25,0.07,0.43
37,ž,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.3,0.3,0.1,-0.05,0.12,0.28,0.28
38,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.82,0.65,-0.27,0.82,0.68,0.68
39,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.8,-0.36,0.63,0.84,0.48
