,phonemes,ɪ̄,ū,ē,ō,ǣ,ā,œ̄,ɔ̄,i,u,e,ʌ,o,æ,ɔ,y,w,ɛ,r,l,p,b,f,v,m,t,d,θ,ð,n,s,z,c,č,ǰ,š,ž,k,g,x,ŋ,h,kʷ,gʷ,xʷ
0,ɨ̄,0.86,0.86,0.79,0.79,0.71,0.79,0.64,0.71,0.79,0.79,0.71,0.79,0.71,0.64,0.64,0.71,0.71,0.64,0.21,0.14,0.14,0.14,0.14,0.14,0.14,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.21,0.21,0.21,0.21,0.43,0.43,0.43,0.36,0.21,0.36,0.36,0.36
1,ɪ̄,,0.79,0.86,0.71,0.79,0.71,0.71,0.64,0.86,0.71,0.79,0.71,0.64,0.71,0.57,0.79,0.64,0.71,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.36,0.36,0.36,0.29,0.29,0.29,0.29,0.29
2,ū,,,0.71,0.86,0.64,0.71,0.71,0.79,0.71,0.86,0.64,0.71,0.79,0.57,0.71,0.64,0.79,0.57,0.21,0.14,0.14,0.14,0.14,0.14,0.14,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.21,0.21,0.21,0.21,0.36,0.36,0.36,0.36,0.21,0.43,0.43,0.43
3,ē,,,,0.79,0.86,0.79,0.79,0.71,0.79,0.64,0.86,0.79,0.71,0.79,0.64,0.71,0.57,0.79,0.36,0.29,0.29,0.29,0.29,0.29,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.29,0.29,0.29,0.21,0.36,0.21,0.21,0.21
4,ō,,,,,0.71,0.79,0.79,0.86,0.64,0.79,0.71,0.79,0.86,0.64,0.79,0.57,0.71,0.64,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.36,0.36,0.36
5,ǣ,,,,,,0.86,0.86,0.79,0.71,0.57,0.79,0.71,0.64,0.86,0.71,0.64,0.5,0.71,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.21,0.21,0.21,0.14,0.43,0.14,0.14,0.14
6,ā,,,,,,,0.79,0.86,0.64,0.64,0.71,0.79,0.71,0.79,0.79,0.57,0.57,0.64,0.21,0.14,0.14,0.14,0.14,0.14,0.14,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.29,0.29,0.29,0.21,0.36,0.21,0.21,0.21
7,œ̄,,,,,,,,0.86,0.64,0.64,0.71,0.64,0.71,0.79,0.79,0.57,0.57,0.64,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.43,0.21,0.21,0.21
8,ɔ̄,,,,,,,,,0.57,0.71,0.64,0.71,0.79,0.71,0.86,0.5,0.64,0.57,0.21,0.14,0.14,0.14,0.14,0.14,0.14,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.21,0.21,0.21,0.21,0.36,0.29,0.29,0.29
9,i,,,,,,,,,,0.79,0.86,0.79,0.71,0.79,0.64,0.86,0.71,0.79,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.36,0.36,0.36,0.29,0.29,0.29,0.29,0.29
