,phonemes,y,u,e,o,ɛ,œ,ʌ,ɔ,æ,p,b,m,f,v,θ,ð,t,d,s,z,r,l,n,ǰ,š,ž,c,k,g,x,ŋ,q,h,kʷ,gʷ,xʷ
0,i,0.85,0.72,0.85,0.55,0.71,0.54,0.54,0.38,0.67,-0.22,-0.03,-0.0,-0.03,0.13,-0.17,-0.01,-0.4,-0.18,-0.17,-0.02,0.13,0.14,-0.15,0.13,0.13,0.28,-0.03,0.15,-0.04,0.13,0.14,0.16,-0.25,0.22,-0.19,-0.02
1,y,,0.85,0.72,0.69,0.6,0.72,0.41,0.55,0.53,-0.3,-0.13,-0.15,-0.13,0.03,-0.28,-0.13,-0.47,-0.27,-0.28,-0.13,0.01,0.0,-0.28,0.01,0.01,0.16,-0.13,0.0,-0.13,0.03,0.02,0.0,-0.33,0.13,0.03,0.17
2,u,,,0.6,0.85,0.49,0.6,0.6,0.72,0.41,-0.39,-0.22,-0.3,-0.24,-0.08,-0.39,-0.26,-0.56,-0.38,-0.39,-0.24,-0.11,-0.13,-0.43,-0.12,-0.11,0.04,-0.22,-0.15,0.12,0.25,0.24,0.16,-0.02,0.04,0.25,0.37
3,e,,,,0.72,0.84,0.68,0.68,0.54,0.81,-0.14,0.06,0.15,0.08,0.24,-0.07,0.11,-0.34,-0.08,-0.07,0.09,0.26,0.28,-0.01,-0.03,-0.04,0.11,-0.26,0.0,-0.3,-0.09,-0.07,-0.0,-0.18,0.32,-0.42,-0.21
4,o,,,,,0.6,0.72,0.72,0.85,0.53,-0.3,-0.13,-0.15,-0.13,0.03,-0.28,-0.13,-0.47,-0.27,-0.28,-0.13,0.01,0.0,-0.28,-0.27,-0.28,-0.13,-0.45,-0.3,-0.13,0.03,0.02,0.0,0.06,0.13,0.03,0.17
5,ɛ,,,,,,0.84,0.84,0.71,0.67,-0.24,-0.0,0.16,0.02,0.19,-0.12,0.09,-0.46,-0.14,-0.12,0.04,0.24,0.28,-0.02,-0.04,-0.07,0.09,-0.34,0.0,-0.4,-0.15,-0.13,0.0,-0.3,0.43,-0.49,-0.26
6,œ,,,,,,,0.68,0.85,0.51,-0.32,-0.1,-0.0,-0.09,0.08,-0.22,-0.04,-0.51,-0.23,-0.22,-0.07,0.11,0.13,-0.16,-0.17,-0.19,-0.04,-0.43,-0.15,-0.48,-0.25,-0.24,-0.16,-0.37,0.32,-0.25,-0.06
7,ʌ,,,,,,,,0.85,0.51,-0.32,-0.1,-0.0,-0.09,0.08,-0.22,-0.04,-0.51,-0.23,-0.22,-0.07,0.11,0.13,-0.16,-0.17,-0.19,-0.04,-0.43,-0.15,-0.12,0.08,0.09,0.16,0.02,0.32,-0.25,-0.06
8,ɔ,,,,,,,,,0.37,-0.39,-0.19,-0.15,-0.19,-0.03,-0.32,-0.16,-0.58,-0.32,-0.32,-0.17,-0.01,-0.0,-0.29,-0.29,-0.31,-0.16,-0.51,-0.3,-0.21,-0.03,-0.02,0.0,-0.06,0.22,-0.03,0.14
9,æ,,,,,,,,,,-0.17,0.01,-0.07,-0.13,0.18,-0.12,0.05,-0.35,-0.27,-0.26,0.03,0.19,0.2,-0.22,-0.22,-0.24,0.05,-0.3,-0.07,-0.33,-0.13,-0.13,-0.16,-0.21,0.59,-0.45,-0.26
