,phonemes,y,u,e,o,ɛ,œ,ʌ,ɔ,æ,p,b,m,f,v,θ,ð,t,d,s,z,r,l,n,ǰ,š,ž,c,k,g,x,ŋ,q,h,kʷ,gʷ,xʷ
0,i,0.89,0.83,0.89,0.78,0.83,0.78,0.78,0.72,0.78,0.33,0.39,0.44,0.44,0.5,0.33,0.39,0.22,0.28,0.33,0.39,0.44,0.44,0.33,0.39,0.44,0.5,0.39,0.5,0.44,0.5,0.56,0.61,0.39,0.61,0.39,0.44
1,y,,0.89,0.83,0.83,0.78,0.83,0.72,0.78,0.72,0.28,0.33,0.39,0.39,0.44,0.28,0.33,0.17,0.22,0.28,0.33,0.39,0.39,0.28,0.33,0.39,0.44,0.33,0.44,0.39,0.44,0.5,0.56,0.33,0.56,0.44,0.5
2,u,,,0.78,0.89,0.72,0.78,0.78,0.83,0.67,0.22,0.28,0.33,0.33,0.39,0.22,0.28,0.11,0.17,0.22,0.28,0.33,0.33,0.22,0.28,0.33,0.39,0.28,0.39,0.44,0.5,0.56,0.61,0.39,0.5,0.5,0.56
3,e,,,,0.83,0.89,0.83,0.83,0.78,0.83,0.39,0.44,0.5,0.5,0.56,0.39,0.44,0.28,0.33,0.39,0.44,0.5,0.5,0.39,0.33,0.39,0.44,0.33,0.44,0.39,0.44,0.5,0.56,0.44,0.67,0.33,0.39
4,o,,,,,0.78,0.83,0.83,0.89,0.72,0.28,0.33,0.39,0.39,0.44,0.28,0.33,0.17,0.22,0.28,0.33,0.39,0.39,0.28,0.22,0.28,0.33,0.22,0.33,0.39,0.44,0.5,0.56,0.44,0.56,0.44,0.5
5,ɛ,,,,,,0.89,0.89,0.83,0.78,0.39,0.44,0.5,0.5,0.56,0.39,0.44,0.28,0.33,0.39,0.44,0.5,0.5,0.39,0.33,0.39,0.44,0.33,0.44,0.39,0.44,0.5,0.56,0.44,0.72,0.33,0.39
6,œ,,,,,,,0.83,0.89,0.72,0.33,0.39,0.44,0.44,0.5,0.33,0.39,0.22,0.28,0.33,0.39,0.44,0.44,0.33,0.28,0.33,0.39,0.28,0.39,0.33,0.39,0.44,0.5,0.39,0.67,0.39,0.44
7,ʌ,,,,,,,,0.89,0.72,0.33,0.39,0.44,0.44,0.5,0.33,0.39,0.22,0.28,0.33,0.39,0.44,0.44,0.33,0.28,0.33,0.39,0.28,0.39,0.44,0.5,0.56,0.61,0.5,0.67,0.39,0.44
8,ɔ,,,,,,,,,0.67,0.28,0.33,0.39,0.39,0.44,0.28,0.33,0.17,0.22,0.28,0.33,0.39,0.39,0.28,0.22,0.28,0.33,0.22,0.33,0.39,0.44,0.5,0.56,0.44,0.61,0.44,0.5
9,æ,,,,,,,,,,0.39,0.44,0.44,0.44,0.56,0.39,0.44,0.28,0.28,0.33,0.44,0.5,0.5,0.33,0.28,0.33,0.44,0.33,0.44,0.39,0.44,0.5,0.44,0.44,0.78,0.33,0.39
