,phonemes,overlap / correlation
0,"['i', 'y']",0.85
1,"['i', 'u']",0.72
2,"['i', 'e']",0.85
3,"['i', 'o']",0.55
4,"['i', 'ɛ']",0.71
5,"['i', 'œ']",0.54
6,"['i', 'ʌ']",0.54
7,"['i', 'ɔ']",0.38
8,"['i', 'æ']",0.67
9,"['i', 'p']",-0.22
10,"['i', 'b']",-0.03
11,"['i', 'm']",-0.0
12,"['i', 'f']",-0.03
13,"['i', 'v']",0.13
14,"['i', 'θ']",-0.17
15,"['i', 'ð']",-0.01
16,"['i', 't']",-0.4
17,"['i', 'd']",-0.18
18,"['i', 's']",-0.17
19,"['i', 'z']",-0.02
20,"['i', 'r']",0.13
21,"['i', 'l']",0.14
22,"['i', 'n']",-0.15
23,"['i', 'ǰ']",0.13
24,"['i', 'š']",0.13
25,"['i', 'ž']",0.28
26,"['i', 'c']",-0.03
27,"['i', 'k']",0.15
28,"['i', 'g']",-0.04
29,"['i', 'x']",0.13
30,"['i', 'ŋ']",0.14
31,"['i', 'q']",0.16
32,"['i', 'h']",-0.25
33,"['i', 'kʷ']",0.22
34,"['i', 'gʷ']",-0.19
35,"['i', 'xʷ']",-0.02
36,"['y', 'u']",0.85
37,"['y', 'e']",0.72
38,"['y', 'o']",0.69
39,"['y', 'ɛ']",0.6
40,"['y', 'œ']",0.72
41,"['y', 'ʌ']",0.41
42,"['y', 'ɔ']",0.55
43,"['y', 'æ']",0.53
44,"['y', 'p']",-0.3
45,"['y', 'b']",-0.13
46,"['y', 'm']",-0.15
47,"['y', 'f']",-0.13
48,"['y', 'v']",0.03
49,"['y', 'θ']",-0.28
50,"['y', 'ð']",-0.13
51,"['y', 't']",-0.47
52,"['y', 'd']",-0.27
53,"['y', 's']",-0.28
54,"['y', 'z']",-0.13
55,"['y', 'r']",0.01
56,"['y', 'l']",0.0
57,"['y', 'n']",-0.28
58,"['y', 'ǰ']",0.01
59,"['y', 'š']",0.01
60,"['y', 'ž']",0.16
61,"['y', 'c']",-0.13
62,"['y', 'k']",0.0
63,"['y', 'g']",-0.13
64,"['y', 'x']",0.03
65,"['y', 'ŋ']",0.02
66,"['y', 'q']",0.0
67,"['y', 'h']",-0.33
68,"['y', 'kʷ']",0.13
69,"['y', 'gʷ']",0.03
70,"['y', 'xʷ']",0.17
71,"['u', 'e']",0.6
72,"['u', 'o']",0.85
73,"['u', 'ɛ']",0.49
74,"['u', 'œ']",0.6
75,"['u', 'ʌ']",0.6
76,"['u', 'ɔ']",0.72
77,"['u', 'æ']",0.41
78,"['u', 'p']",-0.39
79,"['u', 'b']",-0.22
80,"['u', 'm']",-0.3
81,"['u', 'f']",-0.24
82,"['u', 'v']",-0.08
83,"['u', 'θ']",-0.39
84,"['u', 'ð']",-0.26
85,"['u', 't']",-0.56
86,"['u', 'd']",-0.38
87,"['u', 's']",-0.39
88,"['u', 'z']",-0.24
89,"['u', 'r']",-0.11
90,"['u', 'l']",-0.13
91,"['u', 'n']",-0.43
92,"['u', 'ǰ']",-0.12
93,"['u', 'š']",-0.11
94,"['u', 'ž']",0.04
95,"['u', 'c']",-0.22
96,"['u', 'k']",-0.15
97,"['u', 'g']",0.12
98,"['u', 'x']",0.25
99,"['u', 'ŋ']",0.24
100,"['u', 'q']",0.16
101,"['u', 'h']",-0.02
102,"['u', 'kʷ']",0.04
103,"['u', 'gʷ']",0.25
104,"['u', 'xʷ']",0.37
105,"['e', 'o']",0.72
106,"['e', 'ɛ']",0.84
107,"['e', 'œ']",0.68
108,"['e', 'ʌ']",0.68
109,"['e', 'ɔ']",0.54
110,"['e', 'æ']",0.81
111,"['e', 'p']",-0.14
