,phonemes,overlap
0,"['p', 'b']",0.83
1,"['p', 't']",0.58
2,"['p', 'd']",0.5
3,"['p', 'k']",0.58
4,"['p', 'g']",0.5
5,"['p', 'f']",0.58
6,"['p', 'v']",0.5
7,"['p', 'θ']",0.5
8,"['p', 'ð']",0.42
9,"['p', 's']",0.42
10,"['p', 'z']",0.33
11,"['p', 'h']",0.17
12,"['p', 'š']",0.58
13,"['p', 'ž']",0.5
14,"['p', 'č']",0.67
15,"['p', 'ǰ']",0.58
16,"['p', 'm']",0.58
17,"['p', 'n']",0.25
18,"['p', 'ŋ']",0.25
19,"['p', 'r']",0.08
20,"['p', 'l']",0.17
21,"['p', 'i']",0.25
22,"['p', 'ē']",0.17
23,"['p', 'ɛ']",0.17
24,"['p', 'æ']",0.08
25,"['p', 'ā']",0.0
26,"['p', 'ɔ']",0.17
27,"['p', 'o']",0.17
28,"['p', 'u']",0.25
29,"['p', 'ʌ']",0.08
30,"['b', 't']",0.5
31,"['b', 'd']",0.58
32,"['b', 'k']",0.5
33,"['b', 'g']",0.58
34,"['b', 'f']",0.5
35,"['b', 'v']",0.58
36,"['b', 'θ']",0.42
37,"['b', 'ð']",0.5
38,"['b', 's']",0.33
39,"['b', 'z']",0.42
40,"['b', 'h']",0.25
41,"['b', 'š']",0.5
42,"['b', 'ž']",0.58
43,"['b', 'č']",0.58
44,"['b', 'ǰ']",0.67
45,"['b', 'm']",0.58
46,"['b', 'n']",0.25
47,"['b', 'ŋ']",0.25
48,"['b', 'r']",0.08
49,"['b', 'l']",0.17
50,"['b', 'i']",0.25
51,"['b', 'ē']",0.17
52,"['b', 'ɛ']",0.17
53,"['b', 'æ']",0.08
54,"['b', 'ā']",0.0
55,"['b', 'ɔ']",0.17
56,"['b', 'o']",0.17
57,"['b', 'u']",0.25
58,"['b', 'ʌ']",0.08
59,"['t', 'd']",0.83
60,"['t', 'k']",0.75
61,"['t', 'g']",0.67
62,"['t', 'f']",0.58
63,"['t', 'v']",0.5
64,"['t', 'θ']",0.67
65,"['t', 'ð']",0.58
66,"['t', 's']",0.75
67,"['t', 'z']",0.67
68,"['t', 'h']",0.33
69,"['t', 'š']",0.58
70,"['t', 'ž']",0.5
71,"['t', 'č']",0.67
72,"['t', 'ǰ']",0.58
73,"['t', 'm']",0.25
74,"['t', 'n']",0.58
75,"['t', 'ŋ']",0.42
76,"['t', 'r']",0.08
77,"['t', 'l']",0.5
78,"['t', 'i']",0.25
79,"['t', 'ē']",0.25
80,"['t', 'ɛ']",0.25
81,"['t', 'æ']",0.17
82,"['t', 'ā']",0.17
83,"['t', 'ɔ']",0.17
84,"['t', 'o']",0.17
85,"['t', 'u']",0.17
86,"['t', 'ʌ']",0.25
87,"['d', 'k']",0.67
88,"['d', 'g']",0.75
89,"['d', 'f']",0.5
90,"['d', 'v']",0.58
91,"['d', 'θ']",0.58
92,"['d', 'ð']",0.67
93,"['d', 's']",0.67
94,"['d', 'z']",0.75
95,"['d', 'h']",0.42
96,"['d', 'š']",0.5
97,"['d', 'ž']",0.58
98,"['d', 'č']",0.58
99,"['d', 'ǰ']",0.67
100,"['d', 'm']",0.25
101,"['d', 'n']",0.58
102,"['d', 'ŋ']",0.42
103,"['d', 'r']",0.08
104,"['d', 'l']",0.5
105,"['d', 'i']",0.25
106,"['d', 'ē']",0.25
107,"['d', 'ɛ']",0.25
108,"['d', 'æ']",0.17
109,"['d', 'ā']",0.17
110,"['d', 'ɔ']",0.17
111,"['d', 'o']",0.17
112,"['d', 'u']",0.17
113,"['d', 'ʌ']",0.25
114,"['k', 'g']",0.83
115,"['k', 'f']",0.5
116,"['k', 'v']",0.42
117,"['k', 'θ']",0.58
118,"['k', 'ð']",0.5
119,"['k', 's']",0.58
