,phonemes,b,t,d,k,g,f,v,θ,ð,s,z,h,š,ž,č,ǰ,m,n,ŋ,r,l,i,ē,ɛ,æ,ā,ɔ,o,u,ʌ
0,p,0.94,0.46,0.36,0.55,0.41,0.6,0.5,0.28,-0.26,0.32,0.2,-0.14,-0.19,0.26,0.5,0.3,-0.22,-0.15,-0.15,-0.38,-0.4,-0.45,-0.6,-0.68,-0.83,-0.85,-0.36,-0.34,-0.25,-0.68
1,b,,0.39,0.39,0.52,0.51,0.52,0.54,0.19,-0.3,0.24,0.23,-0.09,-0.28,0.34,0.43,0.35,-0.22,-0.04,0.01,-0.25,-0.28,-0.29,-0.45,-0.49,-0.75,-0.73,-0.21,-0.22,-0.13,-0.51
2,t,,,0.95,0.61,0.51,0.63,0.57,0.84,0.09,0.94,0.88,0.03,0.07,0.77,0.89,0.76,-0.36,0.55,0.03,-0.63,0.35,0.09,-0.26,-0.34,-0.45,-0.63,-0.63,-0.56,-0.34,-0.51
3,d,,,,0.58,0.59,0.55,0.6,0.77,0.08,0.88,0.93,0.08,0.01,0.85,0.84,0.82,-0.36,0.68,0.18,-0.51,0.5,0.26,-0.1,-0.14,-0.35,-0.5,-0.5,-0.45,-0.24,-0.33
4,k,,,,,0.93,0.39,0.34,0.52,0.04,0.44,0.39,0.42,0.11,0.68,0.87,0.8,-0.17,0.19,0.45,-0.29,-0.23,-0.01,-0.2,-0.41,-0.33,-0.42,-0.42,-0.26,-0.14,-0.34
5,g,,,,,,0.26,0.35,0.41,0.03,0.33,0.41,0.48,0.03,0.74,0.76,0.83,-0.15,0.31,0.62,-0.13,-0.07,0.18,-0.01,-0.16,-0.19,-0.24,-0.24,-0.11,-0.0,-0.11
6,f,,,,,,,0.93,0.7,0.13,0.67,0.57,-0.08,0.11,0.51,0.57,0.43,-0.18,0.07,-0.27,-0.17,0.12,-0.2,-0.24,-0.32,-0.46,-0.65,-0.13,-0.09,-0.07,-0.48
7,v,,,,,,,,0.62,0.12,0.6,0.63,-0.03,0.04,0.61,0.5,0.49,-0.17,0.2,-0.1,-0.01,0.3,-0.02,-0.06,-0.09,-0.34,-0.5,0.04,0.05,0.07,-0.27
8,θ,,,,,,,,,0.5,0.92,0.85,0.14,0.45,0.8,0.82,0.75,-0.05,0.32,-0.11,-0.52,0.42,0.08,0.01,-0.09,-0.17,-0.43,-0.43,-0.33,-0.28,-0.25
9,ð,,,,,,,,,,0.27,0.27,0.22,0.97,0.31,0.25,0.43,0.77,-0.08,-0.14,-0.1,0.3,0.2,0.37,0.47,0.32,0.32,0.32,0.27,0.26,0.54
10,s,,,,,,,,,,,0.94,0.01,0.24,0.79,0.79,0.69,-0.26,0.45,-0.16,-0.58,0.52,0.08,-0.14,-0.23,-0.33,-0.54,-0.54,-0.46,-0.32,-0.4
11,z,,,,,,,,,,,,0.07,0.18,0.88,0.73,0.75,-0.25,0.59,0.0,-0.45,0.7,0.27,0.04,0.0,-0.21,-0.39,-0.39,-0.34,-0.2,-0.19
12,h,,,,,,,,,,,,,0.24,0.33,0.27,0.37,-0.06,-0.21,0.14,0.46,-0.2,-0.28,-0.19,-0.0,0.21,0.47,-0.06,-0.22,-0.28,0.12
13,š,,,,,,,,,,,,,,0.25,0.28,0.39,0.78,-0.19,-0.18,-0.12,0.14,0.09,0.26,0.31,0.25,0.27,0.27,0.24,0.25,0.45
14,ž,,,,,,,,,,,,,,,0.82,0.9,-0.17,0.47,0.26,-0.29,0.5,0.28,0.12,0.0,-0.13,-0.3,-0.3,-0.18,-0.09,-0.08
15,č,,,,,,,,,,,,,,,,0.91,-0.14,0.38,0.22,-0.53,0.1,0.06,-0.21,-0.34,-0.38,-0.52,-0.52,-0.41,-0.21,-0.37
16,ǰ,,,,,,,,,,,,,,,,,0.06,0.46,0.37,-0.36,0.29,0.29,0.06,-0.0,-0.17,-0.25,-0.25,-0.19,-0.0,-0.01
17,m,,,,,,,,,,,,,,,,,,-0.21,0.02,0.05,-0.01,0.14,0.34,0.53,0.19,0.37,0.65,0.51,0.51,0.71
18,n,,,,,,,,,,,,,,,,,,,0.6,-0.35,0.67,0.61,0.25,0.32,-0.08,-0.16,-0.16,-0.17,0.02,0.11
19,ŋ,,,,,,,,,,,,,,,,,,,,0.06,0.1,0.52,0.36,0.33,0.11,0.14,0.14,0.19,0.28,0.37
20,r,,,,,,,,,,,,,,,,,,,,,-0.16,-0.21,0.05,0.31,0.34,0.65,0.65,0.42,0.26,0.41
21,l,,,,,,,,,,,,,,,,,,,,,,0.61,0.52,0.57,0.24,0.08,0.08,0.1,0.13,0.36
22,i,,,,,,,,,,,,,,,,,,,,,,,0.85,0.54,0.54,0.18,0.18,0.49,0.6,0.47
23,ē,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.78,0.41,0.41,0.71,0.6,0.66
24,ɛ,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.66,0.66,0.48,0.38,0.9
25,æ,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.3,0.52,0.36,0.58
26,ā,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.36,0.24,0.77
27,ɔ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.73,0.77
28,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.61
29,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55
