,phonemes,d,s,z,ɬ,θ,ð,š,c,ɟ,p,b,f,v,k,kʷ,g,x,q,h,č,ǰ,m,n,ŋ,r,i,u,e,ẽ,ɛ,o,ɔ,ʌ,a,æ,y,œ
0,t,0.92,0.83,0.83,0.83,0.92,0.88,0.75,0.83,0.79,0.79,0.75,0.71,0.67,0.67,0.62,0.62,0.67,0.67,0.67,0.58,0.54,0.58,0.75,0.54,0.79,0.29,0.29,0.29,0.25,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
1,d,,0.79,0.88,0.79,0.88,0.92,0.71,0.79,0.83,0.75,0.79,0.67,0.71,0.62,0.58,0.67,0.62,0.62,0.62,0.54,0.58,0.62,0.79,0.58,0.83,0.33,0.33,0.33,0.29,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2,s,,,0.88,0.79,0.88,0.83,0.88,0.71,0.67,0.75,0.71,0.83,0.79,0.54,0.5,0.5,0.54,0.54,0.71,0.58,0.54,0.54,0.71,0.42,0.83,0.25,0.25,0.25,0.21,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
3,z,,,,0.79,0.88,0.92,0.79,0.71,0.75,0.67,0.71,0.75,0.79,0.54,0.5,0.58,0.54,0.54,0.62,0.58,0.62,0.54,0.71,0.5,0.83,0.33,0.33,0.33,0.29,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
4,ɬ,,,,,0.88,0.83,0.71,0.71,0.67,0.67,0.62,0.67,0.62,0.54,0.5,0.5,0.54,0.54,0.71,0.5,0.46,0.46,0.62,0.42,0.75,0.25,0.25,0.25,0.21,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
5,θ,,,,,,0.92,0.79,0.79,0.75,0.75,0.71,0.75,0.71,0.62,0.58,0.58,0.62,0.62,0.71,0.58,0.54,0.54,0.71,0.5,0.83,0.33,0.33,0.33,0.29,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
6,ð,,,,,,,0.75,0.75,0.79,0.71,0.75,0.71,0.75,0.58,0.54,0.62,0.58,0.58,0.67,0.54,0.58,0.58,0.75,0.54,0.88,0.38,0.38,0.38,0.33,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
7,š,,,,,,,,0.79,0.75,0.75,0.71,0.83,0.79,0.54,0.5,0.5,0.54,0.54,0.71,0.67,0.62,0.54,0.67,0.42,0.75,0.25,0.25,0.25,0.21,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
8,c,,,,,,,,,0.92,0.75,0.71,0.67,0.62,0.71,0.67,0.67,0.71,0.67,0.62,0.71,0.67,0.54,0.67,0.58,0.67,0.33,0.33,0.29,0.25,0.29,0.29,0.29,0.29,0.29,0.29,0.33,0.29
9,ɟ,,,,,,,,,,0.71,0.75,0.62,0.67,0.67,0.62,0.71,0.67,0.62,0.58,0.67,0.71,0.58,0.71,0.62,0.71,0.38,0.38,0.33,0.29,0.33,0.33,0.33,0.33,0.33,0.33,0.38,0.33
