,phonemes,d,s,z,ɬ,θ,ð,š,c,ɟ,p,b,f,v,k,kʷ,g,x,q,h,č,ǰ,m,n,ŋ,r,i,u,e,ẽ,ɛ,o,ɔ,ʌ,a,æ,y,œ
0,t,0.87,0.58,0.66,0.66,0.87,0.75,0.3,0.69,0.58,0.6,0.48,0.37,0.27,0.64,0.52,0.52,0.64,0.63,0.06,0.36,0.27,0.05,0.45,0.32,0.48,-0.08,0.01,-0.13,-0.2,-0.23,-0.04,-0.13,-0.18,-0.18,-0.13,-0.04,-0.18
1,d,,0.46,0.77,0.51,0.73,0.88,0.19,0.57,0.71,0.48,0.64,0.24,0.41,0.54,0.41,0.68,0.54,0.54,-0.03,0.25,0.4,0.22,0.58,0.46,0.62,0.04,0.11,0.0,-0.07,-0.07,0.07,0.0,-0.03,-0.03,0.0,0.07,-0.03
2,s,,,0.77,0.51,0.73,0.62,0.73,0.3,0.2,0.48,0.35,0.8,0.68,0.26,0.15,0.15,0.26,0.23,0.3,0.37,0.28,-0.06,0.32,-0.03,0.62,-0.19,-0.12,-0.22,-0.3,-0.31,-0.15,-0.22,-0.26,-0.26,-0.22,-0.15,-0.26
3,z,,,,0.52,0.77,0.88,0.51,0.37,0.5,0.28,0.42,0.55,0.68,0.37,0.24,0.49,0.37,0.38,0.12,0.41,0.53,0.01,0.34,0.25,0.64,0.05,0.08,0.03,-0.06,0.0,0.06,0.03,0.02,0.02,0.03,0.06,0.02
4,ɬ,,,,,0.77,0.64,0.26,0.37,0.26,0.28,0.14,0.29,0.17,0.37,0.24,0.24,0.37,0.38,0.44,0.18,0.08,-0.24,0.09,0.02,0.39,-0.17,-0.14,-0.18,-0.27,-0.22,-0.15,-0.18,-0.2,-0.2,-0.18,-0.15,-0.2
5,θ,,,,,,0.88,0.46,0.57,0.46,0.48,0.35,0.52,0.41,0.54,0.41,0.41,0.54,0.54,0.3,0.37,0.28,-0.06,0.32,0.21,0.62,0.04,0.11,0.0,-0.07,-0.07,0.07,0.0,-0.03,-0.03,0.0,0.07,-0.03
6,ð,,,,,,,0.36,0.47,0.6,0.37,0.52,0.4,0.55,0.45,0.32,0.58,0.45,0.45,0.21,0.27,0.41,0.11,0.46,0.35,0.75,0.15,0.2,0.13,0.04,0.09,0.18,0.13,0.11,0.11,0.13,0.18,0.11
7,š,,,,,,,,0.57,0.46,0.48,0.35,0.8,0.68,0.26,0.15,0.15,0.26,0.23,0.3,0.61,0.52,-0.06,0.18,-0.03,0.36,-0.19,-0.12,-0.22,-0.3,-0.31,-0.15,-0.22,-0.26,-0.26,-0.22,-0.15,-0.26
8,c,,,,,,,,,0.88,0.6,0.47,0.36,0.27,0.7,0.58,0.58,0.7,0.56,0.1,0.65,0.56,0.06,0.3,0.38,0.21,-0.02,0.06,-0.17,-0.24,-0.26,-0.09,-0.17,-0.21,-0.21,-0.17,0.02,-0.21
9,ɟ,,,,,,,,,,0.48,0.63,0.24,0.4,0.61,0.48,0.73,0.61,0.48,0.01,0.54,0.67,0.22,0.44,0.51,0.35,0.09,0.15,-0.04,-0.12,-0.1,0.01,-0.04,-0.07,-0.07,-0.04,0.12,-0.07
10,p,,,,,,,,,,,0.84,0.72,0.6,0.37,0.56,0.26,0.37,0.34,0.07,0.25,0.16,0.36,0.41,0.07,0.37,-0.09,0.01,-0.14,-0.22,-0.25,-0.04,-0.14,-0.2,-0.2,-0.14,-0.04,-0.2
11,b,,,,,,,,,,,,0.56,0.74,0.27,0.44,0.44,0.27,0.25,-0.03,0.14,0.3,0.53,0.55,0.23,0.52,0.04,0.12,0.01,-0.08,-0.07,0.08,0.01,-0.03,-0.03,0.01,0.08,-0.03
12,f,,,,,,,,,,,,,0.87,0.19,0.34,0.07,0.19,0.17,0.22,0.42,0.31,0.12,0.15,-0.13,0.4,-0.07,-0.02,-0.1,-0.19,-0.16,-0.05,-0.1,-0.13,-0.13,-0.1,-0.05,-0.13
13,v,,,,,,,,,,,,,,0.11,0.25,0.25,0.11,0.1,0.13,0.32,0.45,0.29,0.3,0.02,0.55,0.05,0.08,0.04,-0.06,0.01,0.06,0.04,0.02,0.02,0.04,0.06,0.02
14,k,,,,,,,,,,,,,,,0.87,0.87,1.0,0.85,0.15,0.45,0.37,0.15,0.21,0.68,0.18,0.03,0.26,-0.14,-0.2,-0.15,0.09,0.09,0.04,-0.21,-0.26,0.09,-0.08
15,kʷ,,,,,,,,,,,,,,,,0.74,0.87,0.74,0.06,0.33,0.26,0.31,0.09,0.54,0.07,0.14,0.35,-0.01,-0.08,0.02,0.19,0.21,0.17,-0.05,-0.12,0.19,0.06
16,g,,,,,,,,,,,,,,,,,0.87,0.74,0.06,0.33,0.49,0.31,0.35,0.78,0.32,0.14,0.35,-0.01,-0.08,0.02,0.19,0.21,0.17,-0.05,-0.12,0.19,0.06
17,x,,,,,,,,,,,,,,,,,,0.85,0.15,0.45,0.37,0.15,0.21,0.68,0.18,0.03,0.26,-0.14,-0.2,-0.15,0.09,0.09,0.04,-0.21,-0.26,0.09,-0.08
18,q,,,,,,,,,,,,,,,,,,,0.07,0.31,0.25,0.12,0.21,0.57,0.16,-0.1,0.17,-0.04,-0.1,-0.06,0.23,0.21,0.14,-0.12,-0.17,-0.03,0.01
19,h,,,,,,,,,,,,,,,,,,,,-0.06,-0.14,-0.16,-0.07,-0.11,0.21,0.04,0.17,-0.03,-0.1,-0.17,0.1,-0.03,-0.1,-0.1,-0.03,0.1,-0.1
