,phonemes,overlap / correlation
0,"['p', 'b']",0.8
1,"['p', 't']",0.46
2,"['p', 'd']",0.34
3,"['p', 'k']",0.46
4,"['p', 'g']",0.34
5,"['p', 'f']",0.34
6,"['p', 'v']",0.27
7,"['p', 'T']",-0.09
8,"['p', 'D']",-0.11
9,"['p', 's']",-0.09
10,"['p', 'z']",-0.11
11,"['p', 'S']",-0.09
12,"['p', 'Z']",-0.11
13,"['p', 'h']",-0.09
14,"['p', 'C']",-0.09
15,"['p', 'J']",-0.11
16,"['p', 'm']",0.34
17,"['p', 'n']",-0.11
18,"['p', 'G']",-0.11
19,"['p', 'l']",-0.11
20,"['p', 'r']",-0.13
21,"['p', 'w']",0.34
22,"['p', 'y']",-0.11
23,"['p', 'i']",-0.13
24,"['p', 'I']",-0.11
25,"['p', 'e']",-0.13
26,"['p', 'E']",-0.11
27,"['p', 'a']",-0.11
28,"['p', '@']",-0.11
29,"['p', 'u']",-0.15
30,"['p', 'U']",-0.13
31,"['p', 'o']",-0.15
32,"['p', '^']",-0.11
33,"['p', 'Y']",-0.17
34,"['p', 'A']",-0.13
35,"['p', 'W']",-0.13
36,"['p', 'O']",-0.17
37,"['b', 't']",0.34
38,"['b', 'd']",0.62
39,"['b', 'k']",0.34
40,"['b', 'g']",0.62
41,"['b', 'f']",0.24
42,"['b', 'v']",0.51
43,"['b', 'T']",-0.11
44,"['b', 'D']",0.24
45,"['b', 's']",-0.11
46,"['b', 'z']",0.24
47,"['b', 'S']",-0.11
48,"['b', 'Z']",0.24
49,"['b', 'h']",-0.11
50,"['b', 'C']",-0.11
51,"['b', 'J']",0.24
52,"['b', 'm']",0.62
53,"['b', 'n']",0.24
54,"['b', 'G']",0.24
55,"['b', 'l']",0.24
56,"['b', 'r']",0.17
57,"['b', 'w']",0.62
58,"['b', 'y']",0.24
59,"['b', 'i']",0.17
60,"['b', 'I']",0.24
61,"['b', 'e']",0.17
62,"['b', 'E']",0.24
63,"['b', 'a']",0.24
64,"['b', '@']",0.24
65,"['b', 'u']",0.12
66,"['b', 'U']",0.17
67,"['b', 'o']",0.12
68,"['b', '^']",0.24
69,"['b', 'Y']",0.08
70,"['b', 'A']",0.17
71,"['b', 'W']",0.17
72,"['b', 'O']",0.08
73,"['t', 'd']",0.8
74,"['t', 'k']",0.46
75,"['t', 'g']",0.34
76,"['t', 'f']",-0.11
77,"['t', 'v']",-0.13
78,"['t', 'T']",-0.09
79,"['t', 'D']",-0.11
80,"['t', 's']",0.46
81,"['t', 'z']",0.34
82,"['t', 'S']",-0.09
83,"['t', 'Z']",-0.11
84,"['t', 'h']",-0.09
85,"['t', 'C']",-0.09
86,"['t', 'J']",-0.11
87,"['t', 'm']",-0.11
88,"['t', 'n']",0.34
89,"['t', 'G']",-0.11
90,"['t', 'l']",0.34
91,"['t', 'r']",-0.13
92,"['t', 'w']",-0.11
93,"['t', 'y']",-0.11
94,"['t', 'i']",-0.13
95,"['t', 'I']",-0.11
96,"['t', 'e']",-0.13
97,"['t', 'E']",-0.11
98,"['t', 'a']",-0.11
99,"['t', '@']",-0.11
100,"['t', 'u']",-0.15
101,"['t', 'U']",-0.13
102,"['t', 'o']",-0.15
103,"['t', '^']",-0.11
104,"['t', 'Y']",-0.17
105,"['t', 'A']",-0.13
106,"['t', 'W']",-0.13
107,"['t', 'O']",-0.17
108,"['d', 'k']",0.34
109,"['d', 'g']",0.62
110,"['d', 'f']",-0.14
111,"['d', 'v']",0.17
112,"['d', 'T']",-0.11
113,"['d', 'D']",0.24
114,"['d', 's']",0.34
115,"['d', 'z']",0.62
116,"['d', 'S']",-0.11
117,"['d', 'Z']",0.24
118,"['d', 'h']",-0.11
119,"['d', 'C']",-0.11
120,"['d', 'J']",0.24
121,"['d', 'm']",0.24
122,"['d', 'n']",0.62
123,"['d', 'G']",0.24
124,"['d', 'l']",0.62
125,"['d', 'r']",0.17
126,"['d', 'w']",0.24
127,"['d', 'y']",0.24
128,"['d', 'i']",0.17
129,"['d', 'I']",0.24
130,"['d', 'e']",0.17
131,"['d', 'E']",0.24
132,"['d', 'a']",0.24
133,"['d', '@']",0.24
134,"['d', 'u']",0.12
135,"['d', 'U']",0.17
136,"['d', 'o']",0.12
137,"['d', '^']",0.24
138,"['d', 'Y']",0.08
139,"['d', 'A']",0.17
140,"['d', 'W']",0.17
141,"['d', 'O']",0.08
142,"['k', 'g']",0.8
143,"['k', 'f']",-0.11
144,"['k', 'v']",-0.13
145,"['k', 'T']",-0.09
146,"['k', 'D']",-0.11
147,"['k', 's']",-0.09
148,"['k', 'z']",-0.11
149,"['k', 'S']",-0.09
150,"['k', 'Z']",-0.11
151,"['k', 'h']",-0.09
152,"['k', 'C']",-0.09
153,"['k', 'J']",-0.11
154,"['k', 'm']",-0.11
155,"['k', 'n']",-0.11
156,"['k', 'G']",0.34
157,"['k', 'l']",-0.11
158,"['k', 'r']",-0.13
159,"['k', 'w']",-0.11
160,"['k', 'y']",-0.11
161,"['k', 'i']",-0.13
162,"['k', 'I']",-0.11
163,"['k', 'e']",-0.13
164,"['k', 'E']",-0.11
165,"['k', 'a']",-0.11
166,"['k', '@']",-0.11
167,"['k', 'u']",-0.15
168,"['k', 'U']",-0.13
169,"['k', 'o']",-0.15
170,"['k', '^']",-0.11
171,"['k', 'Y']",-0.17
172,"['k', 'A']",-0.13
173,"['k', 'W']",-0.13
174,"['k', 'O']",-0.17
175,"['g', 'f']",-0.14
176,"['g', 'v']",0.17
177,"['g', 'T']",-0.11
178,"['g', 'D']",0.24
179,"['g', 's']",-0.11
180,"['g', 'z']",0.24
181,"['g', 'S']",-0.11
182,"['g', 'Z']",0.24
183,"['g', 'h']",-0.11
184,"['g', 'C']",-0.11
185,"['g', 'J']",0.24
186,"['g', 'm']",0.24
187,"['g', 'n']",0.24
188,"['g', 'G']",0.62
189,"['g', 'l']",0.24
190,"['g', 'r']",0.17
191,"['g', 'w']",0.24
192,"['g', 'y']",0.24
193,"['g', 'i']",0.17
194,"['g', 'I']",0.24
195,"['g', 'e']",0.17
196,"['g', 'E']",0.24
197,"['g', 'a']",0.24
198,"['g', '@']",0.24
199,"['g', 'u']",0.12
200,"['g', 'U']",0.17
201,"['g', 'o']",0.12
202,"['g', '^']",0.24
203,"['g', 'Y']",0.08
204,"['g', 'A']",0.17
205,"['g', 'W']",0.17
206,"['g', 'O']",0.08
207,"['f', 'v']",0.85
208,"['f', 'T']",0.8
209,"['f', 'D']",0.62
210,"['f', 's']",0.34
211,"['f', 'z']",0.24
212,"['f', 'S']",0.34
213,"['f', 'Z']",0.24
214,"['f', 'h']",0.34
215,"['f', 'C']",-0.11
216,"['f', 'J']",-0.14
217,"['f', 'm']",0.24
218,"['f', 'n']",-0.14
219,"['f', 'G']",-0.14
220,"['f', 'l']",-0.14
221,"['f', 'r']",-0.16
222,"['f', 'w']",0.24
223,"['f', 'y']",-0.14
224,"['f', 'i']",-0.16
225,"['f', 'I']",-0.14
226,"['f', 'e']",-0.16
227,"['f', 'E']",-0.14
228,"['f', 'a']",-0.14
229,"['f', '@']",-0.14
230,"['f', 'u']",-0.18
231,"['f', 'U']",-0.16
232,"['f', 'o']",-0.18
233,"['f', '^']",-0.14
234,"['f', 'Y']",-0.21
235,"['f', 'A']",-0.16
236,"['f', 'W']",-0.16
237,"['f', 'O']",-0.21
238,"['v', 'T']",0.68
239,"['v', 'D']",0.85
240,"['v', 's']",0.27
241,"['v', 'z']",0.51
242,"['v', 'S']",0.27
243,"['v', 'Z']",0.51
244,"['v', 'h']",0.27
245,"['v', 'C']",-0.13
246,"['v', 'J']",0.17
247,"['v', 'm']",0.51
248,"['v', 'n']",0.17
249,"['v', 'G']",0.17
250,"['v', 'l']",0.17
251,"['v', 'r']",0.11
252,"['v', 'w']",0.51
253,"['v', 'y']",0.17
254,"['v', 'i']",0.11
255,"['v', 'I']",0.17
256,"['v', 'e']",0.11
257,"['v', 'E']",0.17
258,"['v', 'a']",0.17
