,phonemes,overlap / correlation
0,"['p', 'b']",0.92
1,"['p', 't']",0.88
2,"['p', 'd']",0.85
3,"['p', 'k']",0.88
4,"['p', 'g']",0.85
5,"['p', 'f']",0.85
6,"['p', 'v']",0.81
7,"['p', 'T']",0.81
8,"['p', 'D']",0.77
9,"['p', 's']",0.81
10,"['p', 'z']",0.77
11,"['p', 'S']",0.81
12,"['p', 'Z']",0.77
13,"['p', 'h']",0.81
14,"['p', 'C']",0.81
15,"['p', 'J']",0.77
16,"['p', 'm']",0.85
17,"['p', 'n']",0.77
18,"['p', 'G']",0.77
19,"['p', 'l']",0.77
20,"['p', 'r']",0.73
21,"['p', 'w']",0.85
22,"['p', 'y']",0.77
23,"['p', 'i']",0.73
24,"['p', 'I']",0.77
25,"['p', 'e']",0.73
26,"['p', 'E']",0.77
27,"['p', 'a']",0.77
28,"['p', '@']",0.77
29,"['p', 'u']",0.69
30,"['p', 'U']",0.73
31,"['p', 'o']",0.69
32,"['p', '^']",0.77
33,"['p', 'Y']",0.65
34,"['p', 'A']",0.73
35,"['p', 'W']",0.73
36,"['p', 'O']",0.65
37,"['b', 't']",0.85
38,"['b', 'd']",0.88
39,"['b', 'k']",0.85
40,"['b', 'g']",0.88
41,"['b', 'f']",0.81
42,"['b', 'v']",0.85
43,"['b', 'T']",0.77
44,"['b', 'D']",0.81
45,"['b', 's']",0.77
46,"['b', 'z']",0.81
47,"['b', 'S']",0.77
48,"['b', 'Z']",0.81
49,"['b', 'h']",0.77
50,"['b', 'C']",0.77
51,"['b', 'J']",0.81
52,"['b', 'm']",0.88
53,"['b', 'n']",0.81
54,"['b', 'G']",0.81
55,"['b', 'l']",0.81
56,"['b', 'r']",0.77
57,"['b', 'w']",0.88
58,"['b', 'y']",0.81
59,"['b', 'i']",0.77
60,"['b', 'I']",0.81
61,"['b', 'e']",0.77
62,"['b', 'E']",0.81
63,"['b', 'a']",0.81
64,"['b', '@']",0.81
65,"['b', 'u']",0.73
66,"['b', 'U']",0.77
67,"['b', 'o']",0.73
68,"['b', '^']",0.81
69,"['b', 'Y']",0.69
70,"['b', 'A']",0.77
71,"['b', 'W']",0.77
72,"['b', 'O']",0.69
73,"['t', 'd']",0.92
74,"['t', 'k']",0.88
75,"['t', 'g']",0.85
76,"['t', 'f']",0.77
77,"['t', 'v']",0.73
78,"['t', 'T']",0.81
79,"['t', 'D']",0.77
80,"['t', 's']",0.88
81,"['t', 'z']",0.85
82,"['t', 'S']",0.81
83,"['t', 'Z']",0.77
84,"['t', 'h']",0.81
85,"['t', 'C']",0.81
86,"['t', 'J']",0.77
87,"['t', 'm']",0.77
88,"['t', 'n']",0.85
89,"['t', 'G']",0.77
90,"['t', 'l']",0.85
91,"['t', 'r']",0.73
92,"['t', 'w']",0.77
93,"['t', 'y']",0.77
94,"['t', 'i']",0.73
95,"['t', 'I']",0.77
96,"['t', 'e']",0.73
97,"['t', 'E']",0.77
98,"['t', 'a']",0.77
99,"['t', '@']",0.77
100,"['t', 'u']",0.69
101,"['t', 'U']",0.73
102,"['t', 'o']",0.69
103,"['t', '^']",0.77
104,"['t', 'Y']",0.65
105,"['t', 'A']",0.73
106,"['t', 'W']",0.73
107,"['t', 'O']",0.65
108,"['d', 'k']",0.85
109,"['d', 'g']",0.88
110,"['d', 'f']",0.73
111,"['d', 'v']",0.77
112,"['d', 'T']",0.77
113,"['d', 'D']",0.81
114,"['d', 's']",0.85
115,"['d', 'z']",0.88
116,"['d', 'S']",0.77
117,"['d', 'Z']",0.81
118,"['d', 'h']",0.77
119,"['d', 'C']",0.77
120,"['d', 'J']",0.81
121,"['d', 'm']",0.81
122,"['d', 'n']",0.88
123,"['d', 'G']",0.81
124,"['d', 'l']",0.88
125,"['d', 'r']",0.77
126,"['d', 'w']",0.81
127,"['d', 'y']",0.81
128,"['d', 'i']",0.77
129,"['d', 'I']",0.81
130,"['d', 'e']",0.77
131,"['d', 'E']",0.81
132,"['d', 'a']",0.81
133,"['d', '@']",0.81
134,"['d', 'u']",0.73
135,"['d', 'U']",0.77
136,"['d', 'o']",0.73
137,"['d', '^']",0.81
138,"['d', 'Y']",0.69
139,"['d', 'A']",0.77
140,"['d', 'W']",0.77
141,"['d', 'O']",0.69
142,"['k', 'g']",0.92
143,"['k', 'f']",0.77
144,"['k', 'v']",0.73
145,"['k', 'T']",0.81
146,"['k', 'D']",0.77
147,"['k', 's']",0.81
148,"['k', 'z']",0.77
149,"['k', 'S']",0.81
150,"['k', 'Z']",0.77
151,"['k', 'h']",0.81
152,"['k', 'C']",0.81
153,"['k', 'J']",0.77
154,"['k', 'm']",0.77
155,"['k', 'n']",0.77
156,"['k', 'G']",0.85
157,"['k', 'l']",0.77
158,"['k', 'r']",0.73
159,"['k', 'w']",0.77
160,"['k', 'y']",0.77
161,"['k', 'i']",0.73
162,"['k', 'I']",0.77
163,"['k', 'e']",0.73
164,"['k', 'E']",0.77
165,"['k', 'a']",0.77
166,"['k', '@']",0.77
167,"['k', 'u']",0.69
168,"['k', 'U']",0.73
169,"['k', 'o']",0.69
170,"['k', '^']",0.77
171,"['k', 'Y']",0.65
172,"['k', 'A']",0.73
173,"['k', 'W']",0.73
174,"['k', 'O']",0.65
175,"['g', 'f']",0.73
176,"['g', 'v']",0.77
177,"['g', 'T']",0.77
178,"['g', 'D']",0.81
179,"['g', 's']",0.77
180,"['g', 'z']",0.81
181,"['g', 'S']",0.77
182,"['g', 'Z']",0.81
183,"['g', 'h']",0.77
184,"['g', 'C']",0.77
185,"['g', 'J']",0.81
186,"['g', 'm']",0.81
187,"['g', 'n']",0.81
188,"['g', 'G']",0.88
189,"['g', 'l']",0.81
190,"['g', 'r']",0.77
191,"['g', 'w']",0.81
192,"['g', 'y']",0.81
193,"['g', 'i']",0.77
194,"['g', 'I']",0.81
195,"['g', 'e']",0.77
196,"['g', 'E']",0.81
197,"['g', 'a']",0.81
198,"['g', '@']",0.81
199,"['g', 'u']",0.73
200,"['g', 'U']",0.77
201,"['g', 'o']",0.73
202,"['g', '^']",0.81
203,"['g', 'Y']",0.69
204,"['g', 'A']",0.77
205,"['g', 'W']",0.77
206,"['g', 'O']",0.69
207,"['f', 'v']",0.92
208,"['f', 'T']",0.92
209,"['f', 'D']",0.88
210,"['f', 's']",0.85
211,"['f', 'z']",0.81
212,"['f', 'S']",0.85
213,"['f', 'Z']",0.81
214,"['f', 'h']",0.85
215,"['f', 'C']",0.77
216,"['f', 'J']",0.73
217,"['f', 'm']",0.81
218,"['f', 'n']",0.73
219,"['f', 'G']",0.73
220,"['f', 'l']",0.73
221,"['f', 'r']",0.69
222,"['f', 'w']",0.81
223,"['f', 'y']",0.73
224,"['f', 'i']",0.69
225,"['f', 'I']",0.73
226,"['f', 'e']",0.69
227,"['f', 'E']",0.73
228,"['f', 'a']",0.73
229,"['f', '@']",0.73
230,"['f', 'u']",0.65
231,"['f', 'U']",0.69
232,"['f', 'o']",0.65
233,"['f', '^']",0.73
234,"['f', 'Y']",0.62
235,"['f', 'A']",0.69
236,"['f', 'W']",0.69
237,"['f', 'O']",0.62
238,"['v', 'T']",0.88
239,"['v', 'D']",0.92
240,"['v', 's']",0.81
241,"['v', 'z']",0.85
242,"['v', 'S']",0.81
243,"['v', 'Z']",0.85
244,"['v', 'h']",0.81
245,"['v', 'C']",0.73
246,"['v', 'J']",0.77
247,"['v', 'm']",0.85
248,"['v', 'n']",0.77
249,"['v', 'G']",0.77
250,"['v', 'l']",0.77
251,"['v', 'r']",0.73
252,"['v', 'w']",0.85
253,"['v', 'y']",0.77
254,"['v', 'i']",0.73
255,"['v', 'I']",0.77
256,"['v', 'e']",0.73
257,"['v', 'E']",0.77
258,"['v', 'a']",0.77
259,"['v', '@']",0.77
260,"['v', 'u']",0.69
261,"['v', 'U']",0.73
262,"['v', 'o']",0.69
263,"['v', '^']",0.77
264,"['v', 'Y']",0.65
265,"['v', 'A']",0.73
266,"['v', 'W']",0.73
267,"['v', 'O']",0.65
268,"['T', 'D']",0.92
269,"['T', 's']",0.88
270,"['T', 'z']",0.85
271,"['T', 'S']",0.88
272,"['T', 'Z']",0.85
273,"['T', 'h']",0.88
274,"['T', 'C']",0.81
275,"['T', 'J']",0.77
276,"['T', 'm']",0.77
277,"['T', 'n']",0.77
278,"['T', 'G']",0.77
279,"['T', 'l']",0.77
280,"['T', 'r']",0.73
281,"['T', 'w']",0.77
282,"['T', 'y']",0.77
283,"['T', 'i']",0.73
284,"['T', 'I']",0.77
285,"['T', 'e']",0.73
286,"['T', 'E']",0.77
287,"['T', 'a']",0.77
288,"['T', '@']",0.77
289,"['T', 'u']",0.69
290,"['T', 'U']",0.73
291,"['T', 'o']",0.69
292,"['T', '^']",0.77
293,"['T', 'Y']",0.65
294,"['T', 'A']",0.73
295,"['T', 'W']",0.73
296,"['T', 'O']",0.65
297,"['D', 's']",0.85
298,"['D', 'z']",0.88
299,"['D', 'S']",0.85
300,"['D', 'Z']",0.88
301,"['D', 'h']",0.85
302,"['D', 'C']",0.77
303,"['D', 'J']",0.81
304,"['D', 'm']",0.81
305,"['D', 'n']",0.81
306,"['D', 'G']",0.81
307,"['D', 'l']",0.81
308,"['D', 'r']",0.77
309,"['D', 'w']",0.81
310,"['D', 'y']",0.81
311,"['D', 'i']",0.77
312,"['D', 'I']",0.81
313,"['D', 'e']",0.77
314,"['D', 'E']",0.81
315,"['D', 'a']",0.81
316,"['D', '@']",0.81
317,"['D', 'u']",0.73
318,"['D', 'U']",0.77
319,"['D', 'o']",0.73
320,"['D', '^']",0.81
321,"['D', 'Y']",0.69
322,"['D', 'A']",0.77
323,"['D', 'W']",0.77
324,"['D', 'O']",0.69
325,"['s', 'z']",0.92
326,"['s', 'S']",0.88
327,"['s', 'Z']",0.85
328,"['s', 'h']",0.88
329,"['s', 'C']",0.81
330,"['s', 'J']",0.77
331,"['s', 'm']",0.77
332,"['s', 'n']",0.85
333,"['s', 'G']",0.77
334,"['s', 'l']",0.85
335,"['s', 'r']",0.73
336,"['s', 'w']",0.77
337,"['s', 'y']",0.77
338,"['s', 'i']",0.73
339,"['s', 'I']",0.77
340,"['s', 'e']",0.73
341,"['s', 'E']",0.77
342,"['s', 'a']",0.77
343,"['s', '@']",0.77
344,"['s', 'u']",0.69
345,"['s', 'U']",0.73
346,"['s', 'o']",0.69
347,"['s', '^']",0.77
348,"['s', 'Y']",0.65
349,"['s', 'A']",0.73
350,"['s', 'W']",0.73
351,"['s', 'O']",0.65
352,"['z', 'S']",0.85
353,"['z', 'Z']",0.88
354,"['z', 'h']",0.85
355,"['z', 'C']",0.77
356,"['z', 'J']",0.81
357,"['z', 'm']",0.81
358,"['z', 'n']",0.88
359,"['z', 'G']",0.81
360,"['z', 'l']",0.88
361,"['z', 'r']",0.77
362,"['z', 'w']",0.81
363,"['z', 'y']",0.81
364,"['z', 'i']",0.77
365,"['z', 'I']",0.81
366,"['z', 'e']",0.77
367,"['z', 'E']",0.81
368,"['z', 'a']",0.81
369,"['z', '@']",0.81
370,"['z', 'u']",0.73
371,"['z', 'U']",0.77
372,"['z', 'o']",0.73
373,"['z', '^']",0.81
374,"['z', 'Y']",0.69
375,"['z', 'A']",0.77
376,"['z', 'W']",0.77
377,"['z', 'O']",0.69
378,"['S', 'Z']",0.92
379,"['S', 'h']",0.88
380,"['S', 'C']",0.88
381,"['S', 'J']",0.85
382,"['S', 'm']",0.77
383,"['S', 'n']",0.77
384,"['S', 'G']",0.77
385,"['S', 'l']",0.77
386,"['S', 'r']",0.81
387,"['S', 'w']",0.77
388,"['S', 'y']",0.85
389,"['S', 'i']",0.73
390,"['S', 'I']",0.77
391,"['S', 'e']",0.73
392,"['S', 'E']",0.77
393,"['S', 'a']",0.77
394,"['S', '@']",0.77
395,"['S', 'u']",0.69
396,"['S', 'U']",0.73
397,"['S', 'o']",0.69
398,"['S', '^']",0.77
399,"['S', 'Y']",0.65
400,"['S', 'A']",0.73
401,"['S', 'W']",0.73
402,"['S', 'O']",0.65
403,"['Z', 'h']",0.85
404,"['Z', 'C']",0.85
405,"['Z', 'J']",0.88
406,"['Z', 'm']",0.81
407,"['Z', 'n']",0.81
408,"['Z', 'G']",0.81
409,"['Z', 'l']",0.81
410,"['Z', 'r']",0.85
411,"['Z', 'w']",0.81
412,"['Z', 'y']",0.88
413,"['Z', 'i']",0.77
414,"['Z', 'I']",0.81
415,"['Z', 'e']",0.77
416,"['Z', 'E']",0.81
417,"['Z', 'a']",0.81
418,"['Z', '@']",0.81
419,"['Z', 'u']",0.73
420,"['Z', 'U']",0.77
421,"['Z', 'o']",0.73
422,"['Z', '^']",0.81
423,"['Z', 'Y']",0.69
424,"['Z', 'A']",0.77
425,"['Z', 'W']",0.77
426,"['Z', 'O']",0.69
