,phonemes,b,t,d,k,g,f,v,T,D,s,z,S,Z,h,C,J,m,n,G,l,r,w,y,i,I,e,E,a,@,u,U,o,^,Y,A,W,O
0,p,0.92,0.88,0.85,0.88,0.85,0.85,0.81,0.81,0.77,0.81,0.77,0.81,0.77,0.81,0.81,0.77,0.85,0.77,0.77,0.77,0.73,0.85,0.77,0.73,0.77,0.73,0.77,0.77,0.77,0.69,0.73,0.69,0.77,0.65,0.73,0.73,0.65
1,b,,0.85,0.88,0.85,0.88,0.81,0.85,0.77,0.81,0.77,0.81,0.77,0.81,0.77,0.77,0.81,0.88,0.81,0.81,0.81,0.77,0.88,0.81,0.77,0.81,0.77,0.81,0.81,0.81,0.73,0.77,0.73,0.81,0.69,0.77,0.77,0.69
2,t,,,0.92,0.88,0.85,0.77,0.73,0.81,0.77,0.88,0.85,0.81,0.77,0.81,0.81,0.77,0.77,0.85,0.77,0.85,0.73,0.77,0.77,0.73,0.77,0.73,0.77,0.77,0.77,0.69,0.73,0.69,0.77,0.65,0.73,0.73,0.65
3,d,,,,0.85,0.88,0.73,0.77,0.77,0.81,0.85,0.88,0.77,0.81,0.77,0.77,0.81,0.81,0.88,0.81,0.88,0.77,0.81,0.81,0.77,0.81,0.77,0.81,0.81,0.81,0.73,0.77,0.73,0.81,0.69,0.77,0.77,0.69
4,k,,,,,0.92,0.77,0.73,0.81,0.77,0.81,0.77,0.81,0.77,0.81,0.81,0.77,0.77,0.77,0.85,0.77,0.73,0.77,0.77,0.73,0.77,0.73,0.77,0.77,0.77,0.69,0.73,0.69,0.77,0.65,0.73,0.73,0.65
5,g,,,,,,0.73,0.77,0.77,0.81,0.77,0.81,0.77,0.81,0.77,0.77,0.81,0.81,0.81,0.88,0.81,0.77,0.81,0.81,0.77,0.81,0.77,0.81,0.81,0.81,0.73,0.77,0.73,0.81,0.69,0.77,0.77,0.69
6,f,,,,,,,0.92,0.92,0.88,0.85,0.81,0.85,0.81,0.85,0.77,0.73,0.81,0.73,0.73,0.73,0.69,0.81,0.73,0.69,0.73,0.69,0.73,0.73,0.73,0.65,0.69,0.65,0.73,0.62,0.69,0.69,0.62
7,v,,,,,,,,0.88,0.92,0.81,0.85,0.81,0.85,0.81,0.73,0.77,0.85,0.77,0.77,0.77,0.73,0.85,0.77,0.73,0.77,0.73,0.77,0.77,0.77,0.69,0.73,0.69,0.77,0.65,0.73,0.73,0.65
8,T,,,,,,,,,0.92,0.88,0.85,0.88,0.85,0.88,0.81,0.77,0.77,0.77,0.77,0.77,0.73,0.77,0.77,0.73,0.77,0.73,0.77,0.77,0.77,0.69,0.73,0.69,0.77,0.65,0.73,0.73,0.65
9,D,,,,,,,,,,0.85,0.88,0.85,0.88,0.85,0.77,0.81,0.81,0.81,0.81,0.81,0.77,0.81,0.81,0.77,0.81,0.77,0.81,0.81,0.81,0.73,0.77,0.73,0.81,0.69,0.77,0.77,0.69
10,s,,,,,,,,,,,0.92,0.88,0.85,0.88,0.81,0.77,0.77,0.85,0.77,0.85,0.73,0.77,0.77,0.73,0.77,0.73,0.77,0.77,0.77,0.69,0.73,0.69,0.77,0.65,0.73,0.73,0.65
11,z,,,,,,,,,,,,0.85,0.88,0.85,0.77,0.81,0.81,0.88,0.81,0.88,0.77,0.81,0.81,0.77,0.81,0.77,0.81,0.81,0.81,0.73,0.77,0.73,0.81,0.69,0.77,0.77,0.69
12,S,,,,,,,,,,,,,0.92,0.88,0.88,0.85,0.77,0.77,0.77,0.77,0.81,0.77,0.85,0.73,0.77,0.73,0.77,0.77,0.77,0.69,0.73,0.69,0.77,0.65,0.73,0.73,0.65
13,Z,,,,,,,,,,,,,,0.85,0.85,0.88,0.81,0.81,0.81,0.81,0.85,0.81,0.88,0.77,0.81,0.77,0.81,0.81,0.81,0.73,0.77,0.73,0.81,0.69,0.77,0.77,0.69
