,phonemes,overlap / correlation
0,"['ɨ̄', 'ɪ̄']",0.86
1,"['ɨ̄', 'ū']",0.86
2,"['ɨ̄', 'ē']",0.79
3,"['ɨ̄', 'ō']",0.79
4,"['ɨ̄', 'ǣ']",0.71
5,"['ɨ̄', 'ā']",0.79
6,"['ɨ̄', 'œ̄']",0.64
7,"['ɨ̄', 'ɔ̄']",0.71
8,"['ɨ̄', 'i']",0.79
9,"['ɨ̄', 'u']",0.79
10,"['ɨ̄', 'e']",0.71
11,"['ɨ̄', 'ʌ']",0.79
12,"['ɨ̄', 'o']",0.71
13,"['ɨ̄', 'æ']",0.64
14,"['ɨ̄', 'ɔ']",0.64
15,"['ɨ̄', 'y']",0.71
16,"['ɨ̄', 'w']",0.71
17,"['ɨ̄', 'ɛ']",0.64
18,"['ɨ̄', 'r']",0.21
19,"['ɨ̄', 'l']",0.14
20,"['ɨ̄', 'p']",0.14
21,"['ɨ̄', 'b']",0.14
22,"['ɨ̄', 'f']",0.14
23,"['ɨ̄', 'v']",0.14
24,"['ɨ̄', 'm']",0.14
25,"['ɨ̄', 't']",0.07
26,"['ɨ̄', 'd']",0.07
27,"['ɨ̄', 'θ']",0.07
28,"['ɨ̄', 'ð']",0.07
29,"['ɨ̄', 'n']",0.07
30,"['ɨ̄', 's']",0.07
31,"['ɨ̄', 'z']",0.07
32,"['ɨ̄', 'c']",0.07
33,"['ɨ̄', 'č']",0.21
34,"['ɨ̄', 'ǰ']",0.21
35,"['ɨ̄', 'š']",0.21
36,"['ɨ̄', 'ž']",0.21
37,"['ɨ̄', 'k']",0.43
38,"['ɨ̄', 'g']",0.43
39,"['ɨ̄', 'x']",0.43
40,"['ɨ̄', 'ŋ']",0.36
41,"['ɨ̄', 'h']",0.21
42,"['ɨ̄', 'kʷ']",0.36
43,"['ɨ̄', 'gʷ']",0.36
44,"['ɨ̄', 'xʷ']",0.36
45,"['ɪ̄', 'ū']",0.79
46,"['ɪ̄', 'ē']",0.86
47,"['ɪ̄', 'ō']",0.71
48,"['ɪ̄', 'ǣ']",0.79
49,"['ɪ̄', 'ā']",0.71
50,"['ɪ̄', 'œ̄']",0.71
51,"['ɪ̄', 'ɔ̄']",0.64
52,"['ɪ̄', 'i']",0.86
53,"['ɪ̄', 'u']",0.71
54,"['ɪ̄', 'e']",0.79
55,"['ɪ̄', 'ʌ']",0.71
56,"['ɪ̄', 'o']",0.64
57,"['ɪ̄', 'æ']",0.71
58,"['ɪ̄', 'ɔ']",0.57
59,"['ɪ̄', 'y']",0.79
60,"['ɪ̄', 'w']",0.64
