,phonemes,overlap / correlation
0,"['i', 'y']",0.89
1,"['i', 'u']",0.83
2,"['i', 'e']",0.89
3,"['i', 'o']",0.78
4,"['i', 'ɛ']",0.83
5,"['i', 'œ']",0.78
6,"['i', 'ʌ']",0.78
7,"['i', 'ɔ']",0.72
8,"['i', 'æ']",0.78
9,"['i', 'p']",0.33
10,"['i', 'b']",0.39
11,"['i', 'm']",0.44
12,"['i', 'f']",0.44
13,"['i', 'v']",0.5
14,"['i', 'θ']",0.33
15,"['i', 'ð']",0.39
16,"['i', 't']",0.22
17,"['i', 'd']",0.28
18,"['i', 's']",0.33
19,"['i', 'z']",0.39
20,"['i', 'r']",0.44
21,"['i', 'l']",0.44
22,"['i', 'n']",0.33
23,"['i', 'ǰ']",0.39
24,"['i', 'š']",0.44
25,"['i', 'ž']",0.5
26,"['i', 'c']",0.39
27,"['i', 'k']",0.5
28,"['i', 'g']",0.44
29,"['i', 'x']",0.5
30,"['i', 'ŋ']",0.56
31,"['i', 'q']",0.61
32,"['i', 'h']",0.39
33,"['i', 'kʷ']",0.61
34,"['i', 'gʷ']",0.39
35,"['i', 'xʷ']",0.44
36,"['y', 'u']",0.89
37,"['y', 'e']",0.83
38,"['y', 'o']",0.83
39,"['y', 'ɛ']",0.78
40,"['y', 'œ']",0.83
41,"['y', 'ʌ']",0.72
42,"['y', 'ɔ']",0.78
43,"['y', 'æ']",0.72
44,"['y', 'p']",0.28
45,"['y', 'b']",0.33
46,"['y', 'm']",0.39
47,"['y', 'f']",0.39
48,"['y', 'v']",0.44
49,"['y', 'θ']",0.28
50,"['y', 'ð']",0.33
51,"['y', 't']",0.17
52,"['y', 'd']",0.22
53,"['y', 's']",0.28
54,"['y', 'z']",0.33
55,"['y', 'r']",0.39
56,"['y', 'l']",0.39
57,"['y', 'n']",0.28
58,"['y', 'ǰ']",0.33
59,"['y', 'š']",0.39
60,"['y', 'ž']",0.44
61,"['y', 'c']",0.33
62,"['y', 'k']",0.44
63,"['y', 'g']",0.39
64,"['y', 'x']",0.44
65,"['y', 'ŋ']",0.5
66,"['y', 'q']",0.56
67,"['y', 'h']",0.33
68,"['y', 'kʷ']",0.56
69,"['y', 'gʷ']",0.44
70,"['y', 'xʷ']",0.5
71,"['u', 'e']",0.78
72,"['u', 'o']",0.89
73,"['u', 'ɛ']",0.72
74,"['u', 'œ']",0.78
75,"['u', 'ʌ']",0.78
76,"['u', 'ɔ']",0.83
77,"['u', 'æ']",0.67
78,"['u', 'p']",0.22
79,"['u', 'b']",0.28
80,"['u', 'm']",0.33
81,"['u', 'f']",0.33
82,"['u', 'v']",0.39
83,"['u', 'θ']",0.22
