,phonemes,b,t,d,k,g,f,v,T,D,s,z,S,Z,h,C,J,m,n,G,l,r,w,y,i,I,e,E,a,@,u,U,o,^,Y,A,W,O
0,p,0.8,0.46,0.34,0.46,0.34,0.34,0.27,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,-0.09,-0.09,-0.11,0.34,-0.11,-0.11,-0.11,-0.13,0.34,-0.11,-0.13,-0.11,-0.13,-0.11,-0.11,-0.11,-0.15,-0.13,-0.15,-0.11,-0.17,-0.13,-0.13,-0.17
1,b,,0.34,0.62,0.34,0.62,0.24,0.51,-0.11,0.24,-0.11,0.24,-0.11,0.24,-0.11,-0.11,0.24,0.62,0.24,0.24,0.24,0.17,0.62,0.24,0.17,0.24,0.17,0.24,0.24,0.24,0.12,0.17,0.12,0.24,0.08,0.17,0.17,0.08
2,t,,,0.8,0.46,0.34,-0.11,-0.13,-0.09,-0.11,0.46,0.34,-0.09,-0.11,-0.09,-0.09,-0.11,-0.11,0.34,-0.11,0.34,-0.13,-0.11,-0.11,-0.13,-0.11,-0.13,-0.11,-0.11,-0.11,-0.15,-0.13,-0.15,-0.11,-0.17,-0.13,-0.13,-0.17
3,d,,,,0.34,0.62,-0.14,0.17,-0.11,0.24,0.34,0.62,-0.11,0.24,-0.11,-0.11,0.24,0.24,0.62,0.24,0.62,0.17,0.24,0.24,0.17,0.24,0.17,0.24,0.24,0.24,0.12,0.17,0.12,0.24,0.08,0.17,0.17,0.08
4,k,,,,,0.8,-0.11,-0.13,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,-0.09,-0.09,-0.11,-0.11,-0.11,0.34,-0.11,-0.13,-0.11,-0.11,-0.13,-0.11,-0.13,-0.11,-0.11,-0.11,-0.15,-0.13,-0.15,-0.11,-0.17,-0.13,-0.13,-0.17
5,g,,,,,,-0.14,0.17,-0.11,0.24,-0.11,0.24,-0.11,0.24,-0.11,-0.11,0.24,0.24,0.24,0.62,0.24,0.17,0.24,0.24,0.17,0.24,0.17,0.24,0.24,0.24,0.12,0.17,0.12,0.24,0.08,0.17,0.17,0.08
6,f,,,,,,,0.85,0.8,0.62,0.34,0.24,0.34,0.24,0.34,-0.11,-0.14,0.24,-0.14,-0.14,-0.14,-0.16,0.24,-0.14,-0.16,-0.14,-0.16,-0.14,-0.14,-0.14,-0.18,-0.16,-0.18,-0.14,-0.21,-0.16,-0.16,-0.21
7,v,,,,,,,,0.68,0.85,0.27,0.51,0.27,0.51,0.27,-0.13,0.17,0.51,0.17,0.17,0.17,0.11,0.51,0.17,0.11,0.17,0.11,0.17,0.17,0.17,0.05,0.11,0.05,0.17,0.01,0.11,0.11,0.01
8,T,,,,,,,,,0.8,0.46,0.34,0.46,0.34,0.46,-0.09,-0.11,-0.11,-0.11,-0.11,-0.11,-0.13,-0.11,-0.11,-0.13,-0.11,-0.13,-0.11,-0.11,-0.11,-0.15,-0.13,-0.15,-0.11,-0.17,-0.13,-0.13,-0.17
9,D,,,,,,,,,,0.34,0.62,0.34,0.62,0.34,-0.11,0.24,0.24,0.24,0.24,0.24,0.17,0.24,0.24,0.17,0.24,0.17,0.24,0.24,0.24,0.12,0.17,0.12,0.24,0.08,0.17,0.17,0.08
10,s,,,,,,,,,,,0.8,0.46,0.34,0.46,-0.09,-0.11,-0.11,0.34,-0.11,0.34,-0.13,-0.11,-0.11,-0.13,-0.11,-0.13,-0.11,-0.11,-0.11,-0.15,-0.13,-0.15,-0.11,-0.17,-0.13,-0.13,-0.17
11,z,,,,,,,,,,,,0.34,0.62,0.34,-0.11,0.24,0.24,0.62,0.24,0.62,0.17,0.24,0.24,0.17,0.24,0.17,0.24,0.24,0.24,0.12,0.17,0.12,0.24,0.08,0.17,0.17,0.08
12,S,,,,,,,,,,,,,0.8,0.46,0.46,0.34,-0.11,-0.11,-0.11,-0.11,0.27,-0.11,0.34,-0.13,-0.11,-0.13,-0.11,-0.11,-0.11,-0.15,-0.13,-0.15,-0.11,-0.17,-0.13,-0.13,-0.17
13,Z,,,,,,,,,,,,,,0.34,0.34,0.62,0.24,0.24,0.24,0.24,0.51,0.24,0.62,0.17,0.24,0.17,0.24,0.24,0.24,0.12,0.17,0.12,0.24,0.08,0.17,0.17,0.08
