Source ,Page number,Order,Week,Day,Type,Lexicality,Orthography,Phonology,Flag for Discussion,Notes,Mismatch with CMU Transcription,Coder(s)
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,38/38,1,1,1,Rule,GPC,s,s,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,39/40,2,1,2,Rule,GPC,a,æ,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,40/42,3,1,3,Rule,GPC,t,t,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,40/43,4,1,3,Rule example word,Word,at,æt,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,40/43,4,1,3,Rule example word,Word,sat,sæt,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,41/44,5,1,4,Rule,GPC,i,ɪ,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,41/45,6,1,4,Rule example word,Word,it,ɪt,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,41/45,6,1,4,Rule example word,Word,sit,sɪt,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,42/46,7,1,5,Rule,GPC,p,p ,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,42/46+47,8,1,5,Rule example word,Word,pit,pɪt,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,42/46+47,8,1,5,Rule example word,Word,pat,pæt,,,0,EA/IC
