Source,Page number,Order,Week,Type,Lexicality,Orthography,Phonology,Flag for discussion,Notes,Mismatch with CMU Transcription,Coder(s),,,,,,
"Phase 2, Letter progression, Set 1",48,1,1,Rule,GPC,s,s,,"These first 4 entries are specified as week 1 in the curriculum, but we are not sure if teachers would follow a specific order within this week",0,EA/YL,,,,,,
"Phase 2, Letter progression, Set 1",48,1,1,Rule,GPC,a,æ,,Based this correspondence on the example words for sets 1 and 2,0,EA/YL,,,,,,
"Phase 2, Letter progression, Set 1",48,1,1,Rule,GPC,t,t,,,0,EA/YL,,,,,,
"Phase 2, Letter progression, Set 1",48,1,1,Rule,GPC,p,p,,,0,EA/YL,,,,,,
"Phase 2, Letter progression, Set 2",48,2,2,Rule,GPC,i,ɪ,,,0,EA/YL,,,,,,
"Phase 2, Letter progression, Set 2",48,2,2,Rule,GPC,n,n,,,0,EA/YL,,,,,,
"Phase 2, Letter progression, Set 2",48,2,2,Rule,GPC,m,m,,,0,EA/YL,,,,,,
"Phase 2, Letter progression, Set 2",48,2,2,Rule,GPC,d,d,,,0,EA/YL,,,,,,
"Phase 2, Suggested timetable for Phase 2 - discrete teaching, Week 2",50,3,2,Exception-implicit,Word,is,ɪz,,"It is acknowledged that ""The sounds represented by [...] s in as, is, has and his should also not cause problems at this stage, especially as children will not learn the letters [...] z until several weeks later."" Explicitly mentioned in suggested timetable to teach this and the next 3 ""high frequency words"" in week 2",0,EA/YL,,,,,,
"Phase 2, Suggested timetable for Phase 2 - discrete teaching, Week 2",50,3,2,Rule example word,Word,it,ɪt,,"""high frequency word"" Explicitly mentioned in suggested timetable to teach this in week 2",0,EA/YL,,,,,,
"Phase 2, Suggested timetable for Phase 2 - discrete teaching, Week 2",50,3,2,Rule example word,Word,in,ɪn,,"""high frequency word"" Explicitly mentioned in suggested timetable to teach this in week 2",0,EA/YL,,,,,,
"Phase 2, Suggested timetable for Phase 2 - discrete teaching, Week 2",50,3,2,Rule example word,Word,at,æt,,"""high frequency word"" Explicitly mentioned in suggested timetable to teach this in week 2",0,EA/YL,,,,,,
"Phase 2, Letter progression, Set 3",48,4,3,Rule,GPC,g,g,,,0,EA/YL,,,,,,
"Phase 2, Letter progression, Set 3",48,4,3,Rule,GPC,o,ɑ,,,0,EA/YL,,,,,,
"Phase 2, Letter progression, Set 3",48,4,3,Rule,GPC,c,k,,,0,EA/YL,,,,,,
"Phase 2, Letter progression, Set 3",48,4,3,Rule,GPC,k,k,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,sat,sæt,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,pat,pæt,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,tap,tæp,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,sap,sæp,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Exception-implicit,Word,a,ə,,"""*The indefinite article ‘a’ is normally pronounced as a schwa, but this is close enough to the /a/
sound to be manageable.""  I didn't transcribe it as /æ/ or /ə/ because neither seemed acurate for Canadian English",1 - ʌ,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Exception-implicit,Word,as,æz,,"It is acknowledged that ""The sounds represented by [...] s in as, is, has and his should also not cause problems at this stage, especially as children will not learn the letters [...] z until several weeks later."" ",0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,an,æn,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,am,æm,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,dad,dæd,,top 100 high frequency word,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,man,mæn,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,sad,sæd,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,sit,sɪt,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,nip,nɪp,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,mam,mæm,,This is a word only used in certain British dialects; not applicable to Canadian dialects,1 - mɑm,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,mat,mæt,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC","59, 69",5,3,Rule example word,Word,map,mæp,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,Pam,pæm,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,Tim,tɪm,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,Sam,sæm,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,dim,dɪm,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,dip,dɪp,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,din,dɪn,,May only be used more commonly in British English because we weren't sure of the meaning of this word; but it is an official word in the dictionary,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,did,dɪd,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,Sid,sɪd,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,nip,nɪp,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,pan,pæn,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,pin,pɪn,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,tin,tɪn,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,tan,tæn,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,nap,næp,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,sit,sɪt,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,sat,sæt,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,pit,pɪt,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,tip,tɪp,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,pip,pɪp,,Could be commonly recognized in the UK as a slang (although it has a very niche official meaning),0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,sip,sɪp,,,0,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1 and 2 GPC",69,5,3,Rule example word,Word,and,ænd,,top 100 high frequency word. Also found in suggested timetable for Week 3,1 - ʌnd,EA/YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,tag,tæg,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,gag,gæg,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,gig,gɪg,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,gap,gæp,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,nag,næg,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,sag,sæg,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,gas,gæs,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,pig,pɪg,,,0,YL,,,,,,
